Co ID,Company,Site (FB/Tw/LI),Job/Career (Yes/No),FB Tab,URL,Start Year,Notes
1,Google,FB,1,,https://www.facebook.com/lifeatgoogle,, 
1,Google,Tw,1,,https://twitter.com/lifeatgoogle,2009, 
1,Google,LI,1,,https://www.linkedin.com/groups/Google-Universe-Jobs-Tools-Trends-2930475?gid=2930475&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A2-1-2%2CtarId%3A1427131259584%2Ctas%3Agoogle+job,, 
2,Boston Consulting Group,LI,1,,https://www.linkedin.com/company/1784?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427131302214%2Ctas%3Aboston+consulting+group+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427131302214%2Ctas%3Aboston+consulting+group+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427131302214%2Ctas%3Aboston+consulting+group+,, 
2,Boston Consulting Group,FB,0,,https://www.facebook.com/TheBostonConsultingGroup,, 
3,SAS,Tw,0,,https://twitter.com/SASsoftware,, 
3,SAS,FB,0,,https://www.facebook.com/SASsoftware,, 
3,SAS,LI,1,,https://www.linkedin.com/company/1491,, 
4,Wegmans Food Markets,FB,0,,https://www.facebook.com/Wegmans,, 
4,Wegmans Food Markets,Tw,0,,https://twitter.com/Wegmans,2009, 
5,Edward Jones,FB,1,,https://www.facebook.com/edwardjonescareers?fref=ts,, 
5,Edward Jones,Tw,0,,https://twitter.com/EdwardJones,2009, 
6,NetApp,FB,1,,https://www.facebook.com/netappcareers?fref=ts,, 
6,NetApp,Tw,1,,https://twitter.com/NetAppCareers,2009, 
6,NetApp,LI,1,,https://www.linkedin.com/company/netapp/careers?trk=top_nav_careers,, 
7,Camden Property Trust,LI,0,,https://www.linkedin.com/company/162872?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427387897314%2Ctas%3Acamden+property+trust+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427387897314%2Ctas%3Acamden+property+trust+,, 
7,Camden Property Trust,Tw,0,,https://twitter.com/camdenliving,2009, 
7,Camden Property Trust,FB,0,1,https://www.facebook.com/CamdenLiving,, 
8,Recreational Equipment (REI),FB,0,,https://www.facebook.com/REI?fref=ts&rf=105647536165501,, 
8,Recreational Equipment (REI),Tw,0,,https://twitter.com/REI,2008, 
8,Recreational Equipment (REI),LI,1,,https://www.linkedin.com/company/165697?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388113389%2Ctas%3Arei,, 
9,CHG Healthcare Services,LI,1,,https://www.linkedin.com/company/12687?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388171150%2Ctas%3Achg+health,, 
9,CHG Healthcare Services,Tw,0,,https://twitter.com/CHGHealthcare,, 
9,CHG Healthcare Services,Fb,0,1,https://www.facebook.com/CHGFans?fref=ts,, 
10,Quicken Loans,Fb,1,,https://www.facebook.com/QLCareers?fref=ts,, 
10,Quicken Loans,Tw,1,,https://twitter.com/QLCareers,2011, 
10,Quicken Loans,LI,1,,https://www.linkedin.com/company/165627?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388331688%2Ctas%3Aquicken+loans+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388331688%2Ctas%3Aquicken+loans+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388331688%2Ctas%3Aquicken+loans+,, 
11,Zappos.com,LI,0,,https://www.linkedin.com/company/14951?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388371861%2Ctas%3Azappos+c&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388371861%2Ctas%3Azappos&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-1-7%2CtarId%3A1427388371861%2Ctas%3Azappos,, 
11,Zappos.com,FB,0,1,https://www.facebook.com/zappos?fref=ts,, 
11,Zappos.com,Tw,1,,https://twitter.com/Zappos_Jobs,2012, 
12,Mercedes-Benz USA,Tw,1,,https://twitter.com/MBUSA_Careers,2011, 
12,Mercedes-Benz USA,LI,1,,https://www.linkedin.com/company/164934?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A3-2-10%2CtarId%3A1427388559259%2Ctas%3Amerce,, 
12,Mercedes-Benz USA,FB,0,,https://www.facebook.com/MercedesBenz?fref=ts,, 
13,DPR Construction,FB,0,,https://www.facebook.com/DPRConstruction?fref=ts,, 
13,DPR Construction,TW,0,,https://twitter.com/DPRConstruction,2009, 
13,DPR Construction,LI,0,,https://www.linkedin.com/company/12538?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388664840%2Ctas%3ADPR+CONSTRUCTION+JO&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388664840%2Ctas%3ADPR+CONSTRUCTION+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388664840%2Ctas%3ADPR+CONSTRUCTION+,, 
14,DreamWorks Animation SKG,LI,0,,https://www.linkedin.com/company/4080,, 
14,DreamWorks Animation SKG,TW,0,,https://twitter.com/DWAnimation,2009, 
14,DreamWorks Animation SKG,FB,0,,https://www.facebook.com/DreamWorksAnimation?fref=ts,, 
15,NuStar Energy,FB,0,,https://www.facebook.com/pages/NuStar-Energy/112170275467147?fref=ts,, 
15,NuStar Energy,TW,0,,https://twitter.com/NuStarEnergyLP,2009, 
15,NuStar Energy,LI,0,,https://www.linkedin.com/company/7888?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388828706%2Ctas%3ANUSTAR+ENERGY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388828706%2Ctas%3ANUSTAR+ENERGY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388828706%2Ctas%3ANUSTAR+ENERGY+,, 
16,Kimpton Hotels & Restaurants,LI,0,,https://www.linkedin.com/company/15034?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388847209%2Ctas%3AKIMPTON+HOTE,, 
16,Kimpton Hotels & Restaurants,TW,1,,https://twitter.com/Kimpton_Careers,2011, 
16,Kimpton Hotels & Restaurants,FB,0,,https://www.facebook.com/Kimpton?fref=ts&rf=112145482229508,, 
17,JM Family Enterprises,FB,0,1,https://www.facebook.com/JMFamilyEnterprises?fref=ts,, 
17,JM Family Enterprises,TW,1,,https://twitter.com/JMFamilyCareers,2013, 
17,JM Family Enterprises,LI,1,,https://www.linkedin.com/company/164539?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388969777%2Ctas%3AJM+FAMILY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388969777%2Ctas%3AJM+FAMILY+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427388969777%2Ctas%3AJM+FAMILY+,, 
18,Chesapeake Energy,FB,0,1,https://www.facebook.com/Chesapeake?fref=ts,, 
18,Chesapeake Energy,TW,1,,https://twitter.com/chkcareers,2010, 
18,Chesapeake Energy,LI,0,,https://www.linkedin.com/company/163009,, 
19,Intuit,LI,1,,https://www.linkedin.com/company/1666,, 
19,Intuit,TW,0,,https://twitter.com/Intuit,2007, 
20,USAA,TW,1,,https://twitter.com/USAA_jobs,2009, 
20,USAA,FB,1,,https://www.facebook.com/usaacareers?fref=ts&ref=br_tf,, 
20,USAA,LI,1,,https://www.linkedin.com/company/4501?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770821480%2Ctas%3AUSAA+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770821480%2Ctas%3AUSAA+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770821480%2Ctas%3AUSAA+,, 
21,Robert W. Baird,LI,1,,https://www.linkedin.com/company/6983?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770852481%2Ctas%3AROBERT+W.+BAIRD+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770852481%2Ctas%3AROBERT+W.+BAIRD+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427770852481%2Ctas%3AROBERT+W.+BAIRD+,, 
21,Robert W. Baird,FB,0,1,https://www.facebook.com/RobertWBairdandCompany?fref=ts,, 
21,Robert W. Baird,TW,1,,https://twitter.com/bairdcareers,2010, 
22,Container Store,TW,0,,https://twitter.com/ContainerStore,2009, 
22,Container Store,FB,0,1,https://www.facebook.com/containerstore?fref=ts,, 
22,Container Store,LI,1,,https://www.linkedin.com/company/18062?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427771019615%2Ctas%3ACONTAINER+STORE+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427771019615%2Ctas%3ACONTAINER+STORE+,, 
23,Qualcomm,FB,1,,https://www.facebook.com/QualcommCareers?fref=ts,, 
23,Qualcomm,TW,1,,https://twitter.com/QualcommCareers,2014, 
23,Qualcomm,LI,1,,https://www.linkedin.com/company/2017,, 
