companyString,date,fbId,fbPhotoId,count(*),commentsCount,likesCount,reactionsCount,hasPlace,hasCaption,hasEvent,updatedLater
Recreational Equipment (REI),2013-08,9062006483,6442,2040,443,27427,27427,30,33,0,1811
Zappos.com,2012-12,7172307686,19428,1525,1796,22982,22982,1200,1525,0,68
Recreational Equipment (REI),2013-07,9062006483,8482,1331,560,21842,21842,110,27,0,680
Recreational Equipment (REI),2013-05,9062006483,10720,1230,868,27394,27394,4,43,0,1188
Recreational Equipment (REI),2013-10,9062006483,4528,985,637,40701,40701,304,48,0,538
Recreational Equipment (REI),2013-09,9062006483,5513,929,484,15156,15156,76,29,0,811
Zappos.com,2011-03,7172307686,21881,926,22,61,61,0,4,0,0
KPMG,2015-07,274830721660,122091,917,28,840,840,205,341,0,6
Recreational Equipment (REI),2013-06,9062006483,9813,907,1334,47213,47213,289,37,0,633
Mercedes-Benz USA,2012-02,6604386669,32982,695,5155,87558,87558,0,25,0,129
Mercedes-Benz USA,2011-09,6604386669,33813,693,3063,37849,37849,0,660,0,125
KPMG,2013-10,274830721660,126432,483,5,163,163,442,190,0,3
KPMG,2013-07,274830721660,127439,475,22,523,523,363,448,0,0
Teach For America,2014-06,8433834471,99201,472,113,14210,14210,465,3,0,6
Baptist Health South Florida,2011-12,127900310965,70280,455,29,241,241,109,10,0,22
Salesforce.com,2012-09,5634829153,52506,450,1165,10839,10839,83,415,0,47
KPMG,2014-06,274830721660,125051,424,44,790,790,342,184,0,34
Ultimate Software,2015-03,29660886831,49408,423,67,1745,1745,0,25,0,7
KPMG,2015-08,274830721660,121674,417,10,213,213,115,234,0,5
LifeBridge Health,2012-10,193538150681786,163286,398,26,554,554,94,159,0,246
Baptist Health South Florida,2016-01,127900310965,67943,396,15,219,219,20,374,0,8
Nordstrom,2010-03,12854644836,93354,394,292,1032,1032,0,27,0,9
OhioHealth,2013-11,40814021698,114379,390,30,403,403,369,16,0,108
KPMG,2015-06,274830721660,123008,387,48,832,832,312,84,0,3
KPMG,2013-06,274830721660,127914,382,74,877,877,356,377,0,5
St. Jude Children's Research Hospital,2013-04,6435441794,62571,370,6145,379213,379214,4,22,0,355
Adobe,2012-06,305115773870,67205,356,138,1988,1988,305,108,0,1
Four Seasons Hotels,2011-12,106280431030,142853,356,965,11639,11639,147,295,0,0
Four Seasons Hotels,2011-10,106280431030,143465,355,1070,9638,9638,16,301,0,0
Nordstrom,2010-04,12854644836,93008,346,520,1722,1722,0,40,0,15
KPMG,2015-11,274830721660,121293,346,3,149,149,295,137,0,20
Robert W. Baird,2014-06,148731991811588,44090,343,1,32,32,294,1,0,1
Recreational Equipment (REI),2012-03,9062006483,12508,343,150,622,622,7,2,0,0
American Express,2010-02,6185812851,88676,341,82,392,392,0,339,0,0
KPMG,2014-07,274830721660,124711,340,35,978,978,311,311,0,10
Salesforce.com,2011-09,5634829153,53598,326,247,842,842,0,233,0,1
Four Seasons Hotels,2011-09,106280431030,143820,325,977,7481,7481,0,278,0,0
Stew Leonard's,2016-01,33439252677,134139,324,16118,39051,39053,256,63,0,68
OhioHealth,2013-10,40814021698,114769,315,50,756,756,98,26,0,70
Mercedes-Benz USA,2014-07,6604386669,27904,314,4595,298095,298119,0,184,0,23
KPMG,2013-08,274830721660,127125,314,15,349,349,175,272,0,1
David Weekley Homes,2011-08,8146864018,175096,302,49,307,307,0,300,0,1
Mercedes-Benz USA,2014-03,6604386669,29019,298,6957,435842,435843,0,262,0,0
Mercedes-Benz USA,2014-02,6604386669,29317,290,8733,565915,565923,0,236,0,0
Navy Federal Credit Union,2013-04,160344204010636,131741,286,635,13114,13114,0,273,0,22
Robert W. Baird,2015-04,148731991811588,43450,286,3,186,186,203,8,0,34
Baptist Health South Florida,2011-10,127900310965,70757,285,60,222,222,2,219,0,0
Mercedes-Benz USA,2014-01,6604386669,29608,283,9340,556234,556240,0,241,0,0
Four Seasons Hotels,2012-01,106280431030,142575,278,927,14519,14519,21,274,0,1
Mercedes-Benz USA,2014-09,6604386669,27376,278,5368,427661,427697,9,251,0,9
Mercedes-Benz USA,2015-09,6604386669,25008,276,2222,153441,153469,0,275,0,91
World Wide Technology,2010-05,75577218799,79987,275,0,8,8,0,2,0,1
