Company Name,fbId,fbPhotoId,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 commentsCount,2008 commentsCount,2009 commentsCount,2010 commentsCount,2011 commentsCount,2012 commentsCount,2013 commentsCount,2014 commentsCount,2015 commentsCount,2016 commentsCount,2007 likesCount,2008 likesCount,2009 likesCount,2010 likesCount,2011 likesCount,2012 likesCount,2013 likesCount,2014 likesCount,2015 likesCount,2016 likesCount,2007 reactionsCount,2008 reactionsCount,2009 reactionsCount,2010 reactionsCount,2011 reactionsCount,2012 reactionsCount,2013 reactionsCount,2014 reactionsCount,2015 reactionsCount,2016 reactionsCount,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCaption,2008 hasCaption,2009 hasCaption,2010 hasCaption,2011 hasCaption,2012 hasCaption,2013 hasCaption,2014 hasCaption,2015 hasCaption,2016 hasCaption,2007 hasEvent,2008 hasEvent,2009 hasEvent,2010 hasEvent,2011 hasEvent,2012 hasEvent,2013 hasEvent,2014 hasEvent,2015 hasEvent,2016 hasEvent,2007 updatedLater,2008 updatedLater,2009 updatedLater,2010 updatedLater,2011 updatedLater,2012 updatedLater,2013 updatedLater,2014 updatedLater,2015 updatedLater,2016 updatedLater
Texas Instruments,234443101357,170312,0,0,0,34,185,359,1144,1155,1064,302,0,0,0,3,89,439,1809,1270,755,226,0,0,0,171,1226,7912,71286,133224,211601,60166,0,0,0,171,1226,7912,71286,133224,211601,60232,0,0,0,0,0,39,226,189,55,32,0,0,0,33,164,310,1037,1091,1051,298,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,122,691,527,134,9
DPR Construction,128264243859715,35235,0,0,0,0,0,57,51,18,35,26,0,0,0,0,0,48,68,44,133,36,0,0,0,0,0,740,1658,999,2254,1096,0,0,0,0,0,740,1658,999,2254,1104,0,0,0,0,0,4,1,4,13,11,0,0,0,0,0,52,49,13,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,8,9,14
Southern Ohio Medical Center,220886824589689,58294,0,0,0,0,0,725,745,704,744,155,0,0,0,0,0,203,645,322,559,41,0,0,0,0,0,2838,9715,4711,5063,634,0,0,0,0,0,2838,9718,4711,5064,648,0,0,0,0,0,557,130,137,46,0,0,0,0,0,0,118,134,126,118,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,262,62,41,6
Orrick Herrington & Sutcliffe,123116581045529,160507,0,0,0,48,1,3,1,6,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42,2,9,7,58,33,0,0,0,0,42,2,9,7,58,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,1,1,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,3,0
Adobe,305115773870,67922,0,0,0,3,214,869,630,702,675,243,0,0,0,24,337,2094,7004,2326,1036,155,0,0,0,135,2574,26235,114766,79409,30723,14039,0,0,0,135,2574,26235,114767,79410,30729,14487,0,0,0,0,16,399,25,0,5,3,0,0,0,3,172,595,595,596,634,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,158,359,363,111,44
Edward Jones,180423318637979,2392,0,0,0,1,2,5,4,8,75,35,0,0,0,1,0,3,2,0,23,24,0,0,0,6,5,42,28,16,703,727,0,0,0,6,5,42,28,16,703,743,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,1,3,1,45,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,7,43,29
Container Store,59375573322,45030,0,0,248,524,560,634,394,551,559,172,0,0,1320,1887,1175,3737,2465,2186,3622,2023,0,0,1640,2595,3754,19648,48779,87946,219450,87010,0,0,1640,2595,3754,19648,48780,87948,219453,87792,0,0,0,0,0,46,0,0,0,0,0,0,204,332,367,237,329,371,504,168,0,0,0,0,0,0,0,0,0,0,0,0,14,16,2,139,196,316,187,97
Four Seasons Hotels,106280431030,145147,0,0,113,133,2161,1819,864,675,390,138,0,0,685,1211,9003,16238,13840,5225,1827,868,0,0,2547,6241,71589,420060,519793,236300,78323,31759,0,0,2547,6241,71591,420061,519795,236301,78337,32509,0,0,0,0,222,653,385,243,193,49,0,0,113,132,1831,1787,771,609,344,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,41,98,22,38,34
Morningstar,198056910214033,117279,0,0,0,0,90,288,38,129,0,0,0,0,0,0,21,29,15,8,0,0,0,0,0,0,37,70,81,18,0,0,0,0,0,0,37,70,81,18,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,70,268,6,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,80,0,0
Bright Horizons Family Solutions,1394887180807475,109545,0,0,0,0,0,0,0,2,58,27,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,577,352,0,0,0,0,0,0,0,0,577,355,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,56,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,21
