companyString,date,fbId,fbPhotoId,count(*),commentsCount,likesCount,reactionsCount,hasPlace,hasCaption,hasEvent,updatedLater
Recreational Equipment (REI),2013,9062006483,4461,7687,21713,450075,450081,813,474,0,5836
Mercedes-Benz USA,2014,6604386669,26757,3096,76394,5209423,5209591,11,2456,0,61
KPMG,2015,274830721660,121284,2720,188,3599,3599,1364,1253,0,59
KPMG,2013,274830721660,126294,2497,293,4077,4077,1981,2028,0,33
Mercedes-Benz USA,2015,6604386669,24299,2438,33580,2635210,2635634,1,2349,0,659
KPMG,2014,274830721660,124004,2290,219,3804,3804,1955,1345,0,76
Zappos.com,2012,7172307686,19428,2244,15090,87501,87501,1288,2073,0,297
Four Seasons Hotels,2011,106280431030,142853,2161,9003,71589,71591,222,1831,0,2
Mercedes-Benz USA,2013,6604386669,29892,2125,178952,11759330,11759411,1,1931,0,35
Four Seasons Hotels,2012,106280431030,141034,1819,16238,420060,420061,653,1787,0,41
Mercedes-Benz USA,2012,6604386669,32033,1675,114513,4028381,4028410,0,877,0,259
OhioHealth,2013,40814021698,114201,1531,568,6484,6484,784,486,0,394
Nordstrom,2010,12854644836,92475,1313,5052,18377,18377,0,421,0,28
Mayo Clinic,2015,7673082516,100736,1291,20941,749762,749767,2,1290,0,228
Zappos.com,2013,7172307686,18152,1276,17447,721939,721939,65,1268,0,657
Zappos.com,2011,7172307686,21672,1207,3026,4193,4194,21,139,0,12
Texas Instruments,2014,234443101357,167469,1155,1270,133224,133224,189,1091,0,527
Texas Instruments,2013,234443101357,168624,1144,1809,71286,71286,226,1037,0,691
Aéropostale,2013,57143807607,152063,1138,113389,9591831,9591867,14,999,0,79
Mercedes-Benz USA,2011,6604386669,33708,1115,36084,397110,397111,0,986,0,125
Salesforce.com,2011,5634829153,53372,1103,694,2948,2948,56,872,0,2
Navy Federal Credit Union,2013,160344204010636,131028,1096,15952,237748,237749,282,842,0,171
Stew Leonard's,2015,33439252677,134427,1076,7732,47395,47395,253,705,0,734
Texas Instruments,2015,234443101357,166404,1064,755,211601,211601,55,1051,0,134
Baptist Health South Florida,2011,127900310965,70280,1026,295,1928,1928,112,401,0,35
Mayo Clinic,2014,7673082516,102027,1016,11519,436286,436289,1,1015,0,592
Salesforce.com,2012,5634829153,52368,1005,5134,46052,46052,186,796,0,102
Nordstrom,2012,12854644836,91216,973,92008,1860920,1860924,1,894,0,118
Zappos.com,2014,7172307686,17186,966,55528,987376,987377,0,909,0,363
JM Family Enterprises,2012,215824265320,39629,958,183,2022,2022,628,81,0,105
Stew Leonard's,2014,33439252677,135539,922,11300,32593,32593,344,561,0,446
OhioHealth,2014,40814021698,113286,914,259,7018,7018,358,728,0,211
KPMG,2012,274830721660,128791,884,168,1708,1708,499,513,0,92
LifeBridge Health,2012,193538150681786,163200,875,281,2858,2858,157,509,0,324
Adobe,2012,305115773870,66838,869,2094,26235,26235,399,595,0,158
Four Seasons Hotels,2013,106280431030,140170,864,13840,519793,519795,385,771,0,98
Aéropostale,2012,57143807607,153201,847,104848,3453083,3453083,76,711,0,145
CHG Healthcare Services,2015,32264600947,13899,823,316,6478,6478,10,143,0,468
Nordstrom,2013,12854644836,90395,821,154476,3284566,3284568,24,789,0,323
Stew Leonard's,2013,33439252677,136462,803,23669,49530,49530,138,623,0,416
Aéropostale,2014,57143807607,151261,800,55944,22197552,22197554,0,777,0,10
David Weekley Homes,2014,8146864018,173924,795,3686,18051,18051,0,607,0,606
David Weekley Homes,2015,8146864018,173134,786,5687,23309,23315,3,346,0,580
WellStar Health System,2014,94455639888,178070,778,2093,39997,39997,74,630,0,484
LifeBridge Health,2016,193538150681786,160556,775,121,3283,3304,55,690,0,114
CHG Healthcare Services,2016,32264600947,13137,773,97,2636,2681,104,88,0,377
Recreational Equipment (REI),2015,9062006483,3104,773,42320,2757566,2757598,0,730,0,165
LifeBridge Health,2015,193538150681786,161333,756,221,4162,4162,22,483,0,372
St. Jude Children's Research Hospital,2013,6435441794,62262,752,86513,4956787,4956793,8,335,0,572
Southern Ohio Medical Center,2013,220886824589689,59897,745,645,9715,9718,130,134,0,262
Southern Ohio Medical Center,2015,220886824589689,58449,744,559,5063,5064,46,118,0,41
Recreational Equipment (REI),2012,9062006483,12148,743,14847,318589,318589,10,384,0,164
Mercedes-Benz USA,2016,6604386669,23582,742,6067,341404,350616,0,732,0,442
Southern Ohio Medical Center,2012,220886824589689,60642,725,203,2838,2838,557,118,0,78
Stew Leonard's,2012,33439252677,137264,715,10173,49926,49926,143,601,0,202
OhioHealth,2012,40814021698,115732,710,404,2507,2507,377,411,0,65
Teach For America,2014,8433834471,99046,706,3099,167173,167174,465,134,0,113
Southern Ohio Medical Center,2014,220886824589689,59193,704,322,4711,4711,137,126,0,62
Adobe,2014,305115773870,65511,702,2326,79409,79410,0,596,0,363
Robert W. Baird,2014,148731991811588,43772,686,12,513,513,400,138,0,39
Adobe,2015,305115773870,64836,675,1036,30723,30729,5,634,0,111
Four Seasons Hotels,2014,106280431030,139495,675,5225,236300,236301,243,609,0,22
Stew Leonard's,2016,33439252677,133793,670,18400,54298,55203,319,271,0,337
Aéropostale,2015,57143807607,150594,667,10552,4923200,4923225,0,661,0,27
KPMG,2016,274830721660,120644,640,84,777,783,410,291,0,55
Container Store,2012,59375573322,46714,634,3737,19648,19648,46,237,0,139
OhioHealth,2015,40814021698,112655,631,638,16255,16255,53,283,0,226
Adobe,2013,305115773870,66213,630,7004,114766,114767,25,595,0,359
LifeBridge Health,2013,193538150681786,162571,629,357,5554,5554,303,365,0,303
Baptist Health South Florida,2012,127900310965,69651,629,183,4630,4630,267,185,0,42
Aéropostale,2011,57143807607,154048,623,45760,240241,240241,3,198,0,51
Robert W. Baird,2015,148731991811588,43150,622,22,1438,1438,246,60,0,108
Salesforce.com,2013,5634829153,51760,610,8888,180475,180475,3,602,0,467
OhioHealth,2011,40814021698,116442,609,95,216,216,0,352,0,0
WellStar Health System,2015,94455639888,177477,592,2007,31724,31724,18,545,0,122
American Express,2010,6185812851,88431,589,562,1980,1980,0,568,0,0
Recreational Equipment (REI),2014,9062006483,3877,584,25302,1428518,1428523,0,557,0,220
WellStar Health System,2013,94455639888,178848,577,557,7321,7321,0,555,0,551
American Express,2014,6185812851,87130,565,6434,209730,209730,10,496,0,240
Nordstrom,2014,12854644836,89831,562,75362,2536025,2536042,0,536,0,322
Container Store,2011,59375573322,47297,560,1175,3754,3754,0,367,0,2
Container Store,2015,59375573322,45206,559,3622,219450,219453,0,504,0,187
Container Store,2014,59375573322,45761,551,2186,87946,87948,0,371,0,316
Chesapeake Energy,2010,201579567564,41669,550,257,446,446,1,511,0,1
Ultimate Software,2015,29660886831,49299,548,368,8266,8266,1,132,0,48
Navy Federal Credit Union,2015,160344204010636,129964,537,3514,175665,175666,1,147,0,48
Navy Federal Credit Union,2014,160344204010636,130501,527,2862,117301,117302,170,289,0,231
Container Store,2010,59375573322,47857,524,1887,2595,2595,0,332,0,16
Baptist Health South Florida,2013,127900310965,69093,512,214,7213,7213,276,176,0,112
"ARI, Automotive Resources International",2012,282991730710,176746,508,7,144,144,45,241,0,272
Baptist Health South Florida,2014,127900310965,68631,506,158,13182,13185,143,230,0,200
Microsoft,2013,9298666412,106300,496,3674,43679,43679,189,324,0,89
Brocade Communications Systems,2012,111983056070,147523,492,73,997,997,108,101,0,197
St. Jude Children's Research Hospital,2014,6435441794,61775,487,94454,7190066,7190123,0,411,0,286
JM Family Enterprises,2013,215824265320,39142,487,280,4188,4188,266,94,0,197
FedEx,2014,150993094945648,159353,483,48807,930609,930611,21,335,0,258
LifeBridge Health,2014,193538150681786,162091,480,158,2156,2156,72,314,0,293
Stew Leonard's,2011,33439252677,137979,474,2668,6853,6853,5,395,0,21
CHG Healthcare Services,2014,32264600947,14733,474,334,6562,6562,14,193,0,243
Build-A-Bear Workshop,2014,8783725165,94167,474,8998,105516,105519,0,202,0,115
American Express,2015,6185812851,86655,473,4720,66633,66637,20,366,0,85
American Express,2013,6185812851,87695,472,10127,309942,309942,17,423,0,252
World Wide Technology,2010,75577218799,79903,472,7,35,35,0,11,0,6
Zappos.com,2015,7172307686,16715,471,92113,1731689,1731735,0,462,0,91
MITRE,2013,151373044800,155729,467,404,6094,6094,46,400,0,119
Discovery Communications,2013,153549641890,182107,460,95,1869,1869,117,327,0,167
Stew Leonard's,2010,33439252677,138453,460,581,1649,1649,0,173,0,18
World Wide Technology,2012,75577218799,79125,457,27,418,418,257,29,0,23
CHG Healthcare Services,2013,32264600947,15206,457,506,6466,6466,27,337,0,144
Mayo Clinic,2013,7673082516,103043,454,6163,219242,219242,2,448,0,236
World Wide Technology,2014,75577218799,78311,446,52,2207,2207,328,80,0,83
JM Family Enterprises,2014,215824265320,38702,440,232,5700,5700,309,276,0,70
Intel,2015,22707976849,73529,440,18696,5783233,5783257,48,368,0,34
Publix Super Markets,2014,209968985766607,107960,438,6112,23020,23020,19,373,0,183
MITRE,2012,151373044800,156196,437,943,3334,3334,25,363,0,28
Brocade Communications Systems,2013,111983056070,147086,437,75,4341,4341,255,327,0,97
Sheetz,2014,21120170500,183555,436,21275,657282,657282,12,389,0,140
FedEx,2015,150993094945648,158919,434,31724,732474,732483,0,337,0,157
"ARI, Automotive Resources International",2014,282991730710,175996,431,25,940,940,8,41,0,80
Salesforce.com,2014,5634829153,51330,430,1329,31334,31334,0,409,0,193
Marriott International,2014,143602039041041,84827,428,2933,80986,80987,24,342,0,191
Men's Wearhouse,2014,199928852452,82507,425,2823,45653,45654,0,352,0,245
American Express,2009,6185812851,89020,422,173,1064,1064,0,299,0,2
Herman Miller,2012,162638622561,165328,420,1780,43030,43030,28,368,0,154
Capital One,2012,131080263606125,133212,415,2630,21595,21595,10,376,0,47
Herman Miller,2015,162638622561,164315,414,263,16637,16647,0,295,0,198
Baptist Health South Florida,2016,127900310965,67929,410,32,613,634,20,386,0,11
Robert W. Baird,2013,148731991811588,44458,404,44,570,570,310,48,0,63
Publix Super Markets,2013,209968985766607,108399,401,4276,14702,14702,39,356,0,301
Container Store,2013,59375573322,46320,394,2465,48779,48780,0,329,0,196
Four Seasons Hotels,2015,106280431030,139105,390,1827,78323,78337,193,344,0,38
Men's Wearhouse,2013,199928852452,82938,387,21895,450304,450309,0,380,0,94
Sheetz,2015,21120170500,183159,380,26609,1113078,1113079,0,353,0,194
Aéropostale,2010,57143807607,154671,377,18451,97108,97108,0,154,0,27
Kimpton Hotels & Restaurants,2013,51530158577,37360,373,1937,17826,17826,35,355,0,211
Brocade Communications Systems,2011,111983056070,148015,370,63,372,372,6,89,0,2
Discovery Communications,2012,153549641890,182567,368,106,1496,1496,138,315,0,72
World Wide Technology,2013,75577218799,78757,368,201,6303,6303,20,155,0,281
Marriott International,2013,143602039041041,85259,365,8861,102866,102937,3,316,0,173
DreamWorks Animation SKG,2012,104770457523,36170,364,15502,357370,357373,22,330,0,44
St. Jude Children's Research Hospital,2012,6435441794,63014,364,25066,1419084,1419086,59,318,0,37
Mayo Clinic,2016,7673082516,100370,364,3546,121947,124707,0,364,0,50
DreamWorks Animation SKG,2015,104770457523,35411,363,12732,944507,944556,0,341,0,76
