companyString,date,fbId,fbPageId,count(*),commentsCount,likesCount,reactionsCount,sharesCount,hasCaption,blankMessage,updatedLater,hasParent,hasPlace,hasMessageTags,hasSource,hasTo,postedFromApp,added_photosStory,shared_storyStory,added_videoStory,mobile_status_updateStory,published_storyStory,created_noteStory,wall_postStory,created_eventStory,noTypeStory
SAS,2012-01,140344030787,3,90,206,2309,2309,2,7,2,22,1,2,0,1,89,0,0,10,0,0,0,0,80,0,0
SAS,2012-12,140344030787,3,65,151,80,80,0,3,2,16,2,0,2,0,64,1,0,6,0,0,0,0,59,0,0
SAS,2013-01,140344030787,3,90,163,334,334,1,7,1,24,1,0,2,1,89,0,0,9,0,0,0,0,80,0,1
SAS,2014-01,140344030787,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
SAS,2014-12,140344030787,3,16,15,36,36,0,2,1,4,1,0,0,0,15,0,0,2,0,0,0,0,13,0,1
SAS,2015-01,140344030787,3,7,7,3,3,0,0,0,1,0,0,1,0,7,0,0,1,0,0,0,0,6,0,0
SAS,2015-12,140344030787,3,52,77,127,134,23,3,0,7,0,2,7,3,45,0,6,3,3,0,0,0,40,0,0
SAS,2016-01,140344030787,3,22,173,7401,7794,957,0,0,3,2,0,4,0,18,0,4,2,0,0,0,0,16,0,0
NetApp,2010-12,144947005540685,5,3,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
NetApp,2013-12,144947005540685,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NetApp,2014-01,144947005540685,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NetApp,2015-12,144947005540685,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Camden Property Trust,2009-12,128051573873366,6,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Camden Property Trust,2010-12,128051573873366,6,5,7,0,0,0,1,0,3,0,0,0,0,5,0,0,1,0,0,0,0,3,0,1
Camden Property Trust,2012-01,128051573873366,6,15,5,8,8,1,3,0,11,1,0,3,1,12,0,3,4,0,0,0,0,8,0,0
Camden Property Trust,2012-12,128051573873366,6,4,3,1,1,0,1,0,2,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0
Camden Property Trust,2013-01,128051573873366,6,20,12,81,81,6,4,1,13,0,0,4,1,17,0,7,4,0,0,0,0,9,0,0
Camden Property Trust,2013-12,128051573873366,6,11,3,29,29,0,1,0,10,0,0,9,0,2,0,8,1,0,0,0,0,2,0,0
Camden Property Trust,2014-01,128051573873366,6,15,29,117,117,52,3,1,9,0,1,9,1,6,0,10,3,0,0,0,0,2,0,0
Camden Property Trust,2014-12,128051573873366,6,15,36,296,296,29,1,0,5,0,1,10,0,7,0,8,1,0,0,0,0,6,0,0
Camden Property Trust,2015-01,128051573873366,6,15,12,78,78,7,4,0,6,1,1,7,0,8,0,6,5,0,0,0,0,4,0,0
Camden Property Trust,2015-12,128051573873366,6,7,1,46,47,13,5,0,6,0,0,6,0,1,1,2,5,0,0,0,0,0,0,0
Camden Property Trust,2016-01,128051573873366,6,7,2,39,41,6,3,0,6,1,0,4,0,3,1,1,4,0,0,0,0,2,0,0
Recreational Equipment (REI),2012-01,9062006483,7,987,812,10186,10186,3184,221,227,871,225,13,62,51,808,7,281,417,0,17,4,0,237,0,31
Recreational Equipment (REI),2012-12,9062006483,7,6,1,6,6,0,2,0,5,0,0,0,1,6,0,1,2,0,0,0,0,2,0,1
Recreational Equipment (REI),2013-01,9062006483,7,12,8,57,57,0,0,4,8,4,0,0,0,8,0,1,3,0,0,0,0,7,0,1
Recreational Equipment (REI),2013-12,9062006483,7,212,238,3744,3744,12,27,90,167,90,7,9,7,132,0,49,85,0,17,0,0,43,0,18
Recreational Equipment (REI),2014-01,9062006483,7,296,816,7829,7829,15,25,142,232,140,10,11,11,165,1,64,107,1,29,0,0,63,0,32
Recreational Equipment (REI),2014-12,9062006483,7,875,2085,80284,80324,60,74,440,648,425,27,39,30,455,0,202,374,1,52,0,0,163,0,83
Recreational Equipment (REI),2015-01,9062006483,7,713,1623,44800,44819,85,75,376,527,368,17,27,30,349,0,136,333,2,45,0,0,130,0,67
Recreational Equipment (REI),2015-12,9062006483,7,354,406,8902,9116,84,38,194,273,199,7,31,24,151,0,55,186,2,18,0,0,52,0,41
Recreational Equipment (REI),2016-01,9062006483,7,94,148,2123,2227,2,5,60,74,63,3,6,5,34,0,9,53,0,5,0,0,17,0,10
CHG Healthcare Services,2010-12,32264600947,8,5,1,3,3,0,1,0,4,0,0,0,1,5,1,1,1,0,0,0,0,3,0,0
CHG Healthcare Services,2011-01,32264600947,8,2,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
CHG Healthcare Services,2012-01,32264600947,8,3,5,4,4,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0
CHG Healthcare Services,2012-12,32264600947,8,2,0,3,3,0,1,0,2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0
CHG Healthcare Services,2013-01,32264600947,8,5,6,32,32,0,0,0,2,0,1,1,0,5,0,3,0,0,0,0,0,2,0,0
CHG Healthcare Services,2013-12,32264600947,8,6,5,121,121,8,4,0,3,0,0,5,0,1,0,2,4,0,0,0,0,0,0,0
CHG Healthcare Services,2014-01,32264600947,8,8,4,69,69,7,3,0,6,0,0,6,0,3,1,3,4,0,0,0,0,1,0,0
CHG Healthcare Services,2014-12,32264600947,8,10,5,237,237,24,5,0,5,1,1,8,2,2,3,3,6,1,0,0,0,0,0,0
CHG Healthcare Services,2015-01,32264600947,8,6,10,140,140,19,2,0,2,2,1,5,2,1,0,1,4,1,0,0,0,0,0,0
