Company Name,fbId,fbPageId,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 commentsCount,2008 commentsCount,2009 commentsCount,2010 commentsCount,2011 commentsCount,2012 commentsCount,2013 commentsCount,2014 commentsCount,2015 commentsCount,2016 commentsCount,2007 likesCount,2008 likesCount,2009 likesCount,2010 likesCount,2011 likesCount,2012 likesCount,2013 likesCount,2014 likesCount,2015 likesCount,2016 likesCount,2007 reactionsCount,2008 reactionsCount,2009 reactionsCount,2010 reactionsCount,2011 reactionsCount,2012 reactionsCount,2013 reactionsCount,2014 reactionsCount,2015 reactionsCount,2016 reactionsCount,2007 sharesCount,2008 sharesCount,2009 sharesCount,2010 sharesCount,2011 sharesCount,2012 sharesCount,2013 sharesCount,2014 sharesCount,2015 sharesCount,2016 sharesCount,2007 hasCaption,2008 hasCaption,2009 hasCaption,2010 hasCaption,2011 hasCaption,2012 hasCaption,2013 hasCaption,2014 hasCaption,2015 hasCaption,2016 hasCaption,2007 blankMessage,2008 blankMessage,2009 blankMessage,2010 blankMessage,2011 blankMessage,2012 blankMessage,2013 blankMessage,2014 blankMessage,2015 blankMessage,2016 blankMessage,2007 updatedLater,2008 updatedLater,2009 updatedLater,2010 updatedLater,2011 updatedLater,2012 updatedLater,2013 updatedLater,2014 updatedLater,2015 updatedLater,2016 updatedLater,2007 hasParent,2008 hasParent,2009 hasParent,2010 hasParent,2011 hasParent,2012 hasParent,2013 hasParent,2014 hasParent,2015 hasParent,2016 hasParent,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasMessageTags,2008 hasMessageTags,2009 hasMessageTags,2010 hasMessageTags,2011 hasMessageTags,2012 hasMessageTags,2013 hasMessageTags,2014 hasMessageTags,2015 hasMessageTags,2016 hasMessageTags,2007 hasSource,2008 hasSource,2009 hasSource,2010 hasSource,2011 hasSource,2012 hasSource,2013 hasSource,2014 hasSource,2015 hasSource,2016 hasSource,2007 hasTo,2008 hasTo,2009 hasTo,2010 hasTo,2011 hasTo,2012 hasTo,2013 hasTo,2014 hasTo,2015 hasTo,2016 hasTo,2007 postedFromApp,2008 postedFromApp,2009 postedFromApp,2010 postedFromApp,2011 postedFromApp,2012 postedFromApp,2013 postedFromApp,2014 postedFromApp,2015 postedFromApp,2016 postedFromApp,2007 added_photosStory,2008 added_photosStory,2009 added_photosStory,2010 added_photosStory,2011 added_photosStory,2012 added_photosStory,2013 added_photosStory,2014 added_photosStory,2015 added_photosStory,2016 added_photosStory,2007 shared_storyStory,2008 shared_storyStory,2009 shared_storyStory,2010 shared_storyStory,2011 shared_storyStory,2012 shared_storyStory,2013 shared_storyStory,2014 shared_storyStory,2015 shared_storyStory,2016 shared_storyStory,2007 added_videoStory,2008 added_videoStory,2009 added_videoStory,2010 added_videoStory,2011 added_videoStory,2012 added_videoStory,2013 added_videoStory,2014 added_videoStory,2015 added_videoStory,2016 added_videoStory,2007 mobile_status_updateStory,2008 mobile_status_updateStory,2009 mobile_status_updateStory,2010 mobile_status_updateStory,2011 mobile_status_updateStory,2012 mobile_status_updateStory,2013 mobile_status_updateStory,2014 mobile_status_updateStory,2015 mobile_status_updateStory,2016 mobile_status_updateStory,2007 published_storyStory,2008 published_storyStory,2009 published_storyStory,2010 published_storyStory,2011 published_storyStory,2012 published_storyStory,2013 published_storyStory,2014 published_storyStory,2015 published_storyStory,2016 published_storyStory,2007 created_noteStory,2008 created_noteStory,2009 created_noteStory,2010 created_noteStory,2011 created_noteStory,2012 created_noteStory,2013 created_noteStory,2014 created_noteStory,2015 created_noteStory,2016 created_noteStory,2007 wall_postStory,2008 wall_postStory,2009 wall_postStory,2010 wall_postStory,2011 wall_postStory,2012 wall_postStory,2013 wall_postStory,2014 wall_postStory,2015 wall_postStory,2016 wall_postStory,2007 created_eventStory,2008 created_eventStory,2009 created_eventStory,2010 created_eventStory,2011 created_eventStory,2012 created_eventStory,2013 created_eventStory,2014 created_eventStory,2015 created_eventStory,2016 created_eventStory,2007 noTypeStory,2008 noTypeStory,2009 noTypeStory,2010 noTypeStory,2011 noTypeStory,2012 noTypeStory,2013 noTypeStory,2014 noTypeStory,2015 noTypeStory,2016 noTypeStory
J. M. Smucker,117266245005679,98,0,0,0,169,14,359,384,451,293,43,0,0,0,141,17,433,866,566,588,80,0,0,0,211,27,2807,9853,2063,4593,280,0,0,0,211,27,2807,9853,2063,4609,285,0,0,0,1,0,7,7,10,106,19,0,0,0,2,0,19,23,10,29,4,0,0,0,64,2,51,19,119,69,0,0,0,0,126,8,172,146,235,129,20,0,0,0,64,2,52,19,120,66,0,0,0,0,0,0,0,0,2,4,2,0,0,0,3,1,4,10,15,31,11,0,0,0,1,0,0,3,3,7,0,0,0,0,105,12,309,366,334,201,32,0,0,0,1,0,3,3,0,7,5,0,0,0,4,0,7,0,43,59,19,0,0,0,62,3,57,25,109,70,4,0,0,0,0,0,0,0,2,4,0,0,0,0,4,0,10,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,11,278,342,274,132,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,15,15,18,0
Schweitzer Engineering Labs,148960375131063,86,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,81,98,0,0,0,0,0,0,0,0,81,98,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ultimate Software,29660886831,23,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cheesecake Factory,341861972627674,123,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Ohio Medical Center,220886824589689,32,0,0,0,0,0,11,16,15,15,1,0,0,0,0,0,6,26,6,38,0,0,0,0,0,0,33,279,39,102,14,0,0,0,0,0,33,279,39,118,14,0,0,0,0,0,0,17,4,36,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,10,9,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,5,5,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe,305115773870,36,0,0,0,0,0,624,787,1104,716,58,0,0,0,0,0,1221,1073,2119,879,70,0,0,0,0,0,15553,9773,47263,14285,2686,0,0,0,0,0,15553,9773,47290,14445,2716,0,0,0,0,0,13,23,4,31,0,0,0,0,0,0,54,78,68,58,2,0,0,0,0,0,147,246,498,306,27,0,0,0,0,0,403,505,732,493,43,0,0,0,0,0,119,245,484,306,27,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,19,27,29,28,2,0,0,0,0,0,23,55,83,49,5,0,0,0,0,0,521,549,626,399,31,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,69,50,70,36,3,0,0,0,0,0,143,251,465,284,16,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,10,30,60,21,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,396,452,308,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,59,56,65,11
Scottrade,15601935371,27,0,6,49,129,9,155,221,251,124,15,0,10,74,172,12,228,221,281,220,15,0,0,8,38,1,36,73,405,641,139,0,0,8,38,1,36,73,405,641,139,0,0,0,1,0,1,1,71,506,11,0,0,0,4,0,6,25,30,15,3,0,0,0,2,0,1,8,5,0,0,0,2,10,57,3,52,90,91,38,6,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,8,15,14,1,0,0,0,0,0,0,1,0,2,0,0,6,49,129,9,155,217,238,117,14,0,0,0,1,0,0,0,3,2,0,0,0,0,2,0,3,6,7,8,2,0,0,0,5,0,6,27,34,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,49,121,9,146,187,204,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
World Wide Technology,75577218799,45,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navy Federal Credit Union,160344204010636,85,0,0,0,153,27,604,568,696,594,95,0,0,0,249,39,954,892,985,764,128,0,0,0,180,23,2174,1750,1919,565,100,0,0,0,180,23,2174,1750,1919,617,111,0,0,0,0,0,4,34,24,3,0,0,0,0,3,0,48,23,35,28,3,0,0,0,13,1,25,32,54,40,6,0,0,0,39,5,226,151,149,139,22,0,0,0,13,1,22,29,47,33,6,0,0,0,0,0,1,2,2,4,0,0,0,0,0,0,6,15,15,9,1,0,0,0,0,0,12,3,0,3,0,0,0,0,140,26,582,546,651,562,88,0,0,0,0,1,2,4,0,2,0,0,0,0,0,0,14,37,46,36,10,0,0,0,10,0,70,43,56,52,7,0,0,0,0,0,1,1,0,0,0,0,0,0,7,1,5,8,17,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,25,508,471,567,494,76,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,8,10,2,1
Stew Leonard's,33439252677,90,0,0,0,0,0,122,114,170,122,27,0,0,0,0,0,199,245,413,458,51,0,0,0,0,0,274,599,1544,3817,301,0,0,0,0,0,274,599,1544,3827,301,0,0,0,0,0,5,27,4,1349,47,0,0,0,0,0,9,6,11,21,7,0,0,0,0,0,1,9,50,24,5,0,0,0,0,0,21,35,90,62,14,0,0,0,0,0,3,9,49,25,0,0,0,0,0,0,4,1,1,3,3,0,0,0,0,0,13,9,3,30,7,0,0,0,0,0,2,2,2,8,0,0,0,0,0,0,119,102,121,73,21,0,0,0,0,0,2,1,0,15,3,0,0,0,0,0,19,28,21,16,10,0,0,0,0,0,13,10,36,39,6,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,5,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,67,89,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,6,1
