companyString,date,fbId,fbPageId,count(*),commentsCount,likesCount,reactionsCount,sharesCount,hasCaption,blankMessage,updatedLater,hasParent,hasPlace,hasMessageTags,hasSource,hasTo,postedFromApp,added_photosStory,shared_storyStory,added_videoStory,mobile_status_updateStory,published_storyStory,created_noteStory,wall_postStory,created_eventStory,noTypeStory
SAS,2012,140344030787,3,155,357,2389,2389,2,10,4,38,3,2,2,1,153,1,0,16,0,0,0,0,139,0,0
SAS,2013,140344030787,3,90,163,334,334,1,7,1,24,1,0,2,1,89,0,0,9,0,0,0,0,80,0,1
SAS,2014,140344030787,3,17,16,36,36,0,2,1,4,1,0,0,0,16,0,0,2,0,0,0,0,14,0,1
SAS,2015,140344030787,3,59,84,130,137,23,3,0,8,0,2,8,3,52,0,6,4,3,0,0,0,46,0,0
SAS,2016,140344030787,3,22,173,7401,7794,957,0,0,3,2,0,4,0,18,0,4,2,0,0,0,0,16,0,0
NetApp,2010,144947005540685,5,3,1,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
NetApp,2013,144947005540685,5,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NetApp,2014,144947005540685,5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NetApp,2015,144947005540685,5,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Camden Property Trust,2009,128051573873366,6,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Camden Property Trust,2010,128051573873366,6,5,7,0,0,0,1,0,3,0,0,0,0,5,0,0,1,0,0,0,0,3,0,1
Camden Property Trust,2012,128051573873366,6,19,8,9,9,1,4,0,13,1,0,3,1,16,0,3,6,0,0,0,0,10,0,0
Camden Property Trust,2013,128051573873366,6,31,15,110,110,6,5,1,23,0,0,13,1,19,0,15,5,0,0,0,0,11,0,0
Camden Property Trust,2014,128051573873366,6,30,65,413,413,81,4,1,14,0,2,19,1,13,0,18,4,0,0,0,0,8,0,0
Camden Property Trust,2015,128051573873366,6,22,13,124,125,20,9,0,12,1,1,13,0,9,1,8,10,0,0,0,0,4,0,0
Camden Property Trust,2016,128051573873366,6,7,2,39,41,6,3,0,6,1,0,4,0,3,1,1,4,0,0,0,0,2,0,0
Recreational Equipment (REI),2012,9062006483,7,993,813,10192,10192,3184,223,227,876,225,13,62,52,814,7,282,419,0,17,4,0,239,0,32
Recreational Equipment (REI),2013,9062006483,7,224,246,3801,3801,12,27,94,175,94,7,9,7,140,0,50,88,0,17,0,0,50,0,19
Recreational Equipment (REI),2014,9062006483,7,1171,2901,88113,88153,75,99,582,880,565,37,50,41,620,1,266,481,2,81,0,0,226,0,115
Recreational Equipment (REI),2015,9062006483,7,1067,2029,53702,53935,169,113,570,800,567,24,58,54,500,0,191,519,4,63,0,0,182,0,108
Recreational Equipment (REI),2016,9062006483,7,94,148,2123,2227,2,5,60,74,63,3,6,5,34,0,9,53,0,5,0,0,17,0,10
CHG Healthcare Services,2010,32264600947,8,5,1,3,3,0,1,0,4,0,0,0,1,5,1,1,1,0,0,0,0,3,0,0
CHG Healthcare Services,2011,32264600947,8,2,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
CHG Healthcare Services,2012,32264600947,8,5,5,7,7,0,1,0,3,0,0,1,0,5,0,1,1,0,0,0,0,3,0,0
CHG Healthcare Services,2013,32264600947,8,11,11,153,153,8,4,0,5,0,1,6,0,6,0,5,4,0,0,0,0,2,0,0
CHG Healthcare Services,2014,32264600947,8,18,9,306,306,31,8,0,11,1,1,14,2,5,4,6,10,1,0,0,0,1,0,0
CHG Healthcare Services,2015,32264600947,8,11,20,435,443,45,5,0,2,2,1,9,3,2,1,2,7,2,0,0,0,0,0,0
CHG Healthcare Services,2016,32264600947,8,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Quicken Loans,2013,435141649940642,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Quicken Loans,2014,435141649940642,9,1,1,10,10,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Quicken Loans,2015,435141649940642,9,1,2,6,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Quicken Loans,2016,435141649940642,9,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Zappos.com,2007,7172307686,10,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
Zappos.com,2008,7172307686,10,64,6,3,3,0,0,1,60,0,0,1,0,64,0,4,0,0,0,0,0,60,0,0
Zappos.com,2009,7172307686,10,30,0,1,1,0,0,0,30,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0
Zappos.com,2012,7172307686,10,900,1611,9482,9482,200,34,146,244,139,2,23,13,769,6,80,119,1,12,0,0,637,0,51
Zappos.com,2013,7172307686,10,1356,2155,25689,25689,38,60,287,463,283,4,48,23,1083,7,82,188,2,15,0,0,915,0,154
Zappos.com,2014,7172307686,10,1229,2744,40247,40247,19,44,401,529,394,2,51,37,840,8,80,288,0,45,0,0,695,0,121
Zappos.com,2015,7172307686,10,710,1674,40319,40425,42,30,310,305,263,5,27,43,438,3,92,183,18,20,0,0,302,0,95
Zappos.com,2016,7172307686,10,62,134,1022,1073,9,2,24,25,24,2,4,4,39,0,11,18,0,3,0,0,25,0,5
Mercedes-Benz USA,2007,6604386669,11,19,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,19,0,0
Mercedes-Benz USA,2008,6604386669,11,11,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0
Mercedes-Benz USA,2011,6604386669,11,2,0,0,0,0,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0
Mercedes-Benz USA,2012,6604386669,11,3932,6016,243906,243907,1931,438,1124,3645,807,37,310,168,3279,34,881,1141,2,9,10,0,1460,0,429
Mercedes-Benz USA,2013,6604386669,11,7627,20337,989524,989527,1265,448,2815,6840,2066,94,334,288,5753,43,1666,1465,12,115,11,0,2888,0,1470
Mercedes-Benz USA,2014,6604386669,11,6735,27572,1238677,1238920,796,196,3308,5629,2856,46,132,365,3966,33,1188,1334,13,407,0,0,2155,0,1638
Mercedes-Benz USA,2015,6604386669,11,4303,31615,1147317,1157709,1357,115,2792,3423,2604,59,111,369,1710,14,734,1158,19,398,0,0,806,0,1188
Mercedes-Benz USA,2016,6604386669,11,515,4255,121256,122974,102,24,305,397,271,4,22,60,237,2,112,158,1,41,0,0,102,0,101
Kimpton Hotels & Restaurants,2008,51530158577,15,36,23,15,15,0,0,1,24,0,0,0,0,36,0,14,0,0,0,0,0,22,0,0
Kimpton Hotels & Restaurants,2009,51530158577,15,154,70,99,99,0,8,46,131,46,0,0,1,108,0,9,38,0,16,0,0,91,0,0
Kimpton Hotels & Restaurants,2010,51530158577,15,429,306,767,767,2,35,254,368,250,0,12,8,186,1,18,217,1,54,0,0,115,0,24
Kimpton Hotels & Restaurants,2011,51530158577,15,27,16,23,23,0,3,9,20,8,0,0,0,19,0,7,6,0,5,0,0,9,0,0
Kimpton Hotels & Restaurants,2012,51530158577,15,296,238,1063,1063,7,32,153,226,155,3,10,7,146,0,25,137,0,12,0,0,80,0,42
Kimpton Hotels & Restaurants,2013,51530158577,15,249,180,6080,6080,0,23,101,164,101,4,13,6,149,0,38,85,0,2,0,0,86,0,38
Kimpton Hotels & Restaurants,2014,51530158577,15,236,984,23501,23503,0,13,114,141,112,9,8,3,126,0,28,79,0,12,0,0,82,0,35
Kimpton Hotels & Restaurants,2015,51530158577,15,209,6870,109135,109431,6522,52,60,78,73,3,79,7,75,19,32,106,3,8,0,0,47,0,13
Kimpton Hotels & Restaurants,2016,51530158577,15,32,161,9266,9291,109,16,0,5,2,5,24,0,8,5,7,18,0,1,0,0,6,0,0
JM Family Enterprises,2015,215824265320,16,16,7,110,113,3,1,0,12,1,0,6,1,10,2,11,2,1,0,0,0,2,0,0
JM Family Enterprises,2016,215824265320,16,9,4,29,30,0,1,0,6,0,2,7,1,3,0,7,1,1,0,0,0,0,0,0
Chesapeake Energy,2012,201579567564,17,216,194,529,529,16,59,47,154,42,0,18,4,169,0,18,94,0,6,0,0,92,0,6
Chesapeake Energy,2013,201579567564,17,128,145,582,582,201,25,11,88,6,1,35,3,102,0,34,34,1,5,0,0,54,0,0
Chesapeake Energy,2014,201579567564,17,139,183,1348,1348,494,27,25,93,0,2,44,3,98,3,58,27,3,7,0,0,44,0,0
Chesapeake Energy,2015,201579567564,17,54,86,475,532,259,17,2,43,0,1,21,1,34,1,21,21,1,2,0,0,9,0,0
Chesapeake Energy,2016,201579567564,17,15,4,50,50,46,5,0,12,0,0,7,0,8,0,5,5,0,0,0,0,5,0,0
Container Store,2008,59375573322,20,38,21,9,9,0,0,1,29,1,0,0,0,37,0,3,1,0,0,0,0,34,0,0
Container Store,2009,59375573322,20,183,185,433,433,1,2,65,143,57,0,0,0,126,1,34,44,0,15,0,0,90,0,0
Container Store,2010,59375573322,20,548,666,2003,2003,10,49,233,443,222,0,12,10,326,3,59,198,4,51,0,0,207,0,29
Container Store,2011,59375573322,20,58,51,69,69,2,6,20,43,20,0,1,0,38,1,8,19,0,7,1,0,23,0,0
Container Store,2012,59375573322,20,589,923,6860,6860,6,40,232,454,231,2,24,6,362,0,31,176,0,26,0,0,278,0,78
Container Store,2013,59375573322,20,530,680,5350,5350,8,29,209,336,209,2,24,5,327,1,58,133,0,28,0,0,232,0,79
Container Store,2014,59375573322,20,595,961,12890,12890,6,30,340,431,341,3,14,13,258,0,61,207,0,53,0,0,161,0,113
Container Store,2015,59375573322,20,312,485,6062,6116,717,60,123,219,137,0,101,12,97,32,38,137,5,18,0,0,65,0,49
Container Store,2016,59375573322,20,44,34,401,401,55,11,1,23,4,0,24,2,21,4,14,15,0,1,0,0,14,0,0
Qualcomm,2009,115831370196,21,11,12,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0
Qualcomm,2010,115831370196,21,10,20,1,1,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0
Qualcomm,2011,115831370196,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
