Company Name,fbId,fbPageId,2007-12 count(*),2008-01 count(*),2008-12 count(*),2009-01 count(*),2009-12 count(*),2010-01 count(*),2010-12 count(*),2011-01 count(*),2011-12 count(*),2012-01 count(*),2012-12 count(*),2013-01 count(*),2013-12 count(*),2014-01 count(*),2014-12 count(*),2015-01 count(*),2015-12 count(*),2016-01 count(*),2007-12 commentsCount,2008-01 commentsCount,2008-12 commentsCount,2009-01 commentsCount,2009-12 commentsCount,2010-01 commentsCount,2010-12 commentsCount,2011-01 commentsCount,2011-12 commentsCount,2012-01 commentsCount,2012-12 commentsCount,2013-01 commentsCount,2013-12 commentsCount,2014-01 commentsCount,2014-12 commentsCount,2015-01 commentsCount,2015-12 commentsCount,2016-01 commentsCount,2007-12 likesCount,2008-01 likesCount,2008-12 likesCount,2009-01 likesCount,2009-12 likesCount,2010-01 likesCount,2010-12 likesCount,2011-01 likesCount,2011-12 likesCount,2012-01 likesCount,2012-12 likesCount,2013-01 likesCount,2013-12 likesCount,2014-01 likesCount,2014-12 likesCount,2015-01 likesCount,2015-12 likesCount,2016-01 likesCount,2007-12 reactionsCount,2008-01 reactionsCount,2008-12 reactionsCount,2009-01 reactionsCount,2009-12 reactionsCount,2010-01 reactionsCount,2010-12 reactionsCount,2011-01 reactionsCount,2011-12 reactionsCount,2012-01 reactionsCount,2012-12 reactionsCount,2013-01 reactionsCount,2013-12 reactionsCount,2014-01 reactionsCount,2014-12 reactionsCount,2015-01 reactionsCount,2015-12 reactionsCount,2016-01 reactionsCount,2007-12 sharesCount,2008-01 sharesCount,2008-12 sharesCount,2009-01 sharesCount,2009-12 sharesCount,2010-01 sharesCount,2010-12 sharesCount,2011-01 sharesCount,2011-12 sharesCount,2012-01 sharesCount,2012-12 sharesCount,2013-01 sharesCount,2013-12 sharesCount,2014-01 sharesCount,2014-12 sharesCount,2015-01 sharesCount,2015-12 sharesCount,2016-01 sharesCount,2007-12 hasCaption,2008-01 hasCaption,2008-12 hasCaption,2009-01 hasCaption,2009-12 hasCaption,2010-01 hasCaption,2010-12 hasCaption,2011-01 hasCaption,2011-12 hasCaption,2012-01 hasCaption,2012-12 hasCaption,2013-01 hasCaption,2013-12 hasCaption,2014-01 hasCaption,2014-12 hasCaption,2015-01 hasCaption,2015-12 hasCaption,2016-01 hasCaption,2007-12 blankMessage,2008-01 blankMessage,2008-12 blankMessage,2009-01 blankMessage,2009-12 blankMessage,2010-01 blankMessage,2010-12 blankMessage,2011-01 blankMessage,2011-12 blankMessage,2012-01 blankMessage,2012-12 blankMessage,2013-01 blankMessage,2013-12 blankMessage,2014-01 blankMessage,2014-12 blankMessage,2015-01 blankMessage,2015-12 blankMessage,2016-01 blankMessage,2007-12 updatedLater,2008-01 updatedLater,2008-12 updatedLater,2009-01 updatedLater,2009-12 updatedLater,2010-01 updatedLater,2010-12 updatedLater,2011-01 updatedLater,2011-12 updatedLater,2012-01 updatedLater,2012-12 updatedLater,2013-01 updatedLater,2013-12 updatedLater,2014-01 updatedLater,2014-12 updatedLater,2015-01 updatedLater,2015-12 updatedLater,2016-01 updatedLater,2007-12 hasParent,2008-01 hasParent,2008-12 hasParent,2009-01 hasParent,2009-12 hasParent,2010-01 hasParent,2010-12 hasParent,2011-01 hasParent,2011-12 hasParent,2012-01 hasParent,2012-12 hasParent,2013-01 hasParent,2013-12 hasParent,2014-01 hasParent,2014-12 hasParent,2015-01 hasParent,2015-12 hasParent,2016-01 hasParent,2007-12 hasPlace,2008-01 hasPlace,2008-12 hasPlace,2009-01 hasPlace,2009-12 hasPlace,2010-01 hasPlace,2010-12 hasPlace,2011-01 hasPlace,2011-12 hasPlace,2012-01 hasPlace,2012-12 hasPlace,2013-01 hasPlace,2013-12 hasPlace,2014-01 hasPlace,2014-12 hasPlace,2015-01 hasPlace,2015-12 hasPlace,2016-01 hasPlace,2007-12 hasMessageTags,2008-01 hasMessageTags,2008-12 hasMessageTags,2009-01 hasMessageTags,2009-12 hasMessageTags,2010-01 hasMessageTags,2010-12 hasMessageTags,2011-01 hasMessageTags,2011-12 hasMessageTags,2012-01 hasMessageTags,2012-12 hasMessageTags,2013-01 hasMessageTags,2013-12 hasMessageTags,2014-01 hasMessageTags,2014-12 hasMessageTags,2015-01 hasMessageTags,2015-12 hasMessageTags,2016-01 hasMessageTags,2007-12 hasSource,2008-01 hasSource,2008-12 hasSource,2009-01 hasSource,2009-12 hasSource,2010-01 hasSource,2010-12 hasSource,2011-01 hasSource,2011-12 hasSource,2012-01 hasSource,2012-12 hasSource,2013-01 hasSource,2013-12 hasSource,2014-01 hasSource,2014-12 hasSource,2015-01 hasSource,2015-12 hasSource,2016-01 hasSource,2007-12 hasTo,2008-01 hasTo,2008-12 hasTo,2009-01 hasTo,2009-12 hasTo,2010-01 hasTo,2010-12 hasTo,2011-01 hasTo,2011-12 hasTo,2012-01 hasTo,2012-12 hasTo,2013-01 hasTo,2013-12 hasTo,2014-01 hasTo,2014-12 hasTo,2015-01 hasTo,2015-12 hasTo,2016-01 hasTo,2007-12 postedFromApp,2008-01 postedFromApp,2008-12 postedFromApp,2009-01 postedFromApp,2009-12 postedFromApp,2010-01 postedFromApp,2010-12 postedFromApp,2011-01 postedFromApp,2011-12 postedFromApp,2012-01 postedFromApp,2012-12 postedFromApp,2013-01 postedFromApp,2013-12 postedFromApp,2014-01 postedFromApp,2014-12 postedFromApp,2015-01 postedFromApp,2015-12 postedFromApp,2016-01 postedFromApp,2007-12 added_photosStory,2008-01 added_photosStory,2008-12 added_photosStory,2009-01 added_photosStory,2009-12 added_photosStory,2010-01 added_photosStory,2010-12 added_photosStory,2011-01 added_photosStory,2011-12 added_photosStory,2012-01 added_photosStory,2012-12 added_photosStory,2013-01 added_photosStory,2013-12 added_photosStory,2014-01 added_photosStory,2014-12 added_photosStory,2015-01 added_photosStory,2015-12 added_photosStory,2016-01 added_photosStory,2007-12 shared_storyStory,2008-01 shared_storyStory,2008-12 shared_storyStory,2009-01 shared_storyStory,2009-12 shared_storyStory,2010-01 shared_storyStory,2010-12 shared_storyStory,2011-01 shared_storyStory,2011-12 shared_storyStory,2012-01 shared_storyStory,2012-12 shared_storyStory,2013-01 shared_storyStory,2013-12 shared_storyStory,2014-01 shared_storyStory,2014-12 shared_storyStory,2015-01 shared_storyStory,2015-12 shared_storyStory,2016-01 shared_storyStory,2007-12 added_videoStory,2008-01 added_videoStory,2008-12 added_videoStory,2009-01 added_videoStory,2009-12 added_videoStory,2010-01 added_videoStory,2010-12 added_videoStory,2011-01 added_videoStory,2011-12 added_videoStory,2012-01 added_videoStory,2012-12 added_videoStory,2013-01 added_videoStory,2013-12 added_videoStory,2014-01 added_videoStory,2014-12 added_videoStory,2015-01 added_videoStory,2015-12 added_videoStory,2016-01 added_videoStory,2007-12 mobile_status_updateStory,2008-01 mobile_status_updateStory,2008-12 mobile_status_updateStory,2009-01 mobile_status_updateStory,2009-12 mobile_status_updateStory,2010-01 mobile_status_updateStory,2010-12 mobile_status_updateStory,2011-01 mobile_status_updateStory,2011-12 mobile_status_updateStory,2012-01 mobile_status_updateStory,2012-12 mobile_status_updateStory,2013-01 mobile_status_updateStory,2013-12 mobile_status_updateStory,2014-01 mobile_status_updateStory,2014-12 mobile_status_updateStory,2015-01 mobile_status_updateStory,2015-12 mobile_status_updateStory,2016-01 mobile_status_updateStory,2007-12 published_storyStory,2008-01 published_storyStory,2008-12 published_storyStory,2009-01 published_storyStory,2009-12 published_storyStory,2010-01 published_storyStory,2010-12 published_storyStory,2011-01 published_storyStory,2011-12 published_storyStory,2012-01 published_storyStory,2012-12 published_storyStory,2013-01 published_storyStory,2013-12 published_storyStory,2014-01 published_storyStory,2014-12 published_storyStory,2015-01 published_storyStory,2015-12 published_storyStory,2016-01 published_storyStory,2007-12 created_noteStory,2008-01 created_noteStory,2008-12 created_noteStory,2009-01 created_noteStory,2009-12 created_noteStory,2010-01 created_noteStory,2010-12 created_noteStory,2011-01 created_noteStory,2011-12 created_noteStory,2012-01 created_noteStory,2012-12 created_noteStory,2013-01 created_noteStory,2013-12 created_noteStory,2014-01 created_noteStory,2014-12 created_noteStory,2015-01 created_noteStory,2015-12 created_noteStory,2016-01 created_noteStory,2007-12 wall_postStory,2008-01 wall_postStory,2008-12 wall_postStory,2009-01 wall_postStory,2009-12 wall_postStory,2010-01 wall_postStory,2010-12 wall_postStory,2011-01 wall_postStory,2011-12 wall_postStory,2012-01 wall_postStory,2012-12 wall_postStory,2013-01 wall_postStory,2013-12 wall_postStory,2014-01 wall_postStory,2014-12 wall_postStory,2015-01 wall_postStory,2015-12 wall_postStory,2016-01 wall_postStory,2007-12 created_eventStory,2008-01 created_eventStory,2008-12 created_eventStory,2009-01 created_eventStory,2009-12 created_eventStory,2010-01 created_eventStory,2010-12 created_eventStory,2011-01 created_eventStory,2011-12 created_eventStory,2012-01 created_eventStory,2012-12 created_eventStory,2013-01 created_eventStory,2013-12 created_eventStory,2014-01 created_eventStory,2014-12 created_eventStory,2015-01 created_eventStory,2015-12 created_eventStory,2016-01 created_eventStory,2007-12 noTypeStory,2008-01 noTypeStory,2008-12 noTypeStory,2009-01 noTypeStory,2009-12 noTypeStory,2010-01 noTypeStory,2010-12 noTypeStory,2011-01 noTypeStory,2011-12 noTypeStory,2012-01 noTypeStory,2012-12 noTypeStory,2013-01 noTypeStory,2013-12 noTypeStory,2014-01 noTypeStory,2014-12 noTypeStory,2015-01 noTypeStory,2015-12 noTypeStory,2016-01 noTypeStory
Texas Instruments,234443101357,109,0,0,0,0,0,0,0,0,0,0,158,534,369,520,515,351,217,58,0,0,0,0,0,0,0,0,0,0,488,1171,474,798,432,338,159,84,0,0,0,0,0,0,0,0,0,0,14908,51554,62530,78026,153627,97943,49554,11248,0,0,0,0,0,0,0,0,0,0,14910,51556,62531,78026,153627,97943,49604,11269,0,0,0,0,0,0,0,0,0,0,3311,7252,2808,3925,2696,2134,571,157,0,0,0,0,0,0,0,0,0,0,14,44,17,21,20,18,17,3,0,0,0,0,0,0,0,0,0,0,2,8,0,1,3,4,3,1,0,0,0,0,0,0,0,0,0,0,74,293,220,290,346,233,169,40,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,6,10,12,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,153,505,356,508,500,341,211,54,0,0,0,0,0,0,0,0,0,0,138,466,348,491,493,328,199,57,0,0,0,0,0,0,0,0,0,0,15,48,17,22,20,15,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,4,6,1,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DPR Construction,128264243859715,12,0,0,0,0,0,0,0,0,0,100,20,81,1,18,24,18,25,3,0,0,0,0,0,0,0,0,0,61,7,76,4,58,55,108,47,17,0,0,0,0,0,0,0,0,0,1072,377,1978,72,1442,1280,1645,1555,272,0,0,0,0,0,0,0,0,0,1072,377,1978,72,1442,1280,1645,1565,272,0,0,0,0,0,0,0,0,0,83,28,149,7,149,89,120,141,36,0,0,0,0,0,0,0,0,0,49,10,30,1,4,9,2,4,2,0,0,0,0,0,0,0,0,0,15,1,6,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,71,16,54,0,3,12,3,6,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,8,3,4,0,0,0,0,0,0,0,0,0,0,11,1,17,0,6,4,5,9,1,0,0,0,0,0,0,0,0,0,6,2,4,0,1,2,0,3,1,0,0,0,0,0,0,0,0,0,11,1,17,0,6,4,5,9,1,0,0,0,0,0,0,0,0,0,9,0,9,0,10,7,10,0,1,0,0,0,0,0,0,0,0,0,49,9,41,0,14,12,15,16,1,0,0,0,0,0,0,0,0,0,49,11,38,1,4,12,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southern Ohio Medical Center,220886824589689,32,0,0,0,0,0,0,0,0,0,187,84,225,95,129,118,94,59,24,0,0,0,0,0,0,0,0,0,154,562,638,250,173,354,158,15,111,0,0,0,0,0,0,0,0,0,2421,4303,10204,2407,2927,2604,2500,630,581,0,0,0,0,0,0,0,0,0,2421,4304,10206,2407,2927,2605,2500,645,593,0,0,0,0,0,0,0,0,0,298,1091,3585,1672,1278,1200,1104,261,177,0,0,0,0,0,0,0,0,0,59,18,75,32,34,32,16,16,8,0,0,0,0,0,0,0,0,0,3,4,4,2,8,9,4,5,0,0,0,0,0,0,0,0,0,0,137,40,128,54,85,94,59,49,18,0,0,0,0,0,0,0,0,0,0,1,2,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,11,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,8,2,16,3,6,6,4,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,162,74,182,73,106,80,72,43,22,0,0,0,0,0,0,0,0,0,83,52,106,54,71,77,65,42,10,0,0,0,0,0,0,0,0,0,35,14,58,25,38,25,16,10,8,0,0,0,0,0,0,0,0,0,0,0,11,1,1,6,3,0,2,0,0,0,0,0,0,0,0,0,52,17,47,15,19,10,10,4,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0
Orrick Herrington & Sutcliffe,123116581045529,106,0,0,0,0,63,11,56,0,0,47,11,42,27,33,75,37,38,7,0,0,0,0,6,0,4,0,0,8,0,6,2,6,10,0,11,0,0,0,0,0,164,24,138,0,0,166,42,289,83,164,562,227,526,91,0,0,0,0,164,24,138,0,0,166,42,289,83,164,562,227,529,91,0,0,0,0,0,0,1,0,0,21,5,35,5,37,65,22,78,13,0,0,0,0,23,5,25,0,0,34,11,38,18,19,66,37,38,7,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,11,53,0,0,40,11,38,25,29,68,36,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,5,0,0,2,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,10,11,35,24,30,68,35,27,3,0,0,0,0,22,5,1,0,0,1,0,1,0,6,8,0,0,0,0,0,0,0,21,5,25,0,0,34,11,38,18,19,67,37,38,7,0,0,0,0,15,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,0,0,12,0,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adobe,305115773870,36,0,0,0,0,0,0,0,0,0,440,145,411,214,280,211,159,59,27,0,0,0,0,0,0,0,0,0,2115,2475,5170,907,1507,538,468,162,39,0,0,0,0,0,0,0,0,0,27442,33090,86712,33998,45426,17309,13559,11129,8097,0,0,0,0,0,0,0,0,0,27442,33091,86712,33999,45426,17316,13562,11479,8269,0,0,0,0,0,0,0,0,0,5631,5736,13932,4856,7395,2851,1784,1287,386,0,0,0,0,0,0,0,0,0,145,7,19,24,26,60,43,26,15,0,0,0,0,0,0,0,0,0,9,5,7,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,189,49,145,63,71,91,60,21,10,0,0,0,0,0,0,0,0,0,4,6,14,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142,12,73,21,23,19,5,0,0,0,0,0,0,0,0,0,0,0,25,4,17,17,12,14,7,10,0,0,0,0,0,0,0,0,0,0,142,12,72,21,22,16,5,0,0,0,0,0,0,0,0,0,0,0,189,120,362,199,261,191,149,51,26,0,0,0,0,0,0,0,0,0,277,134,377,193,266,196,148,49,27,0,0,0,0,0,0,0,0,0,118,9,24,7,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,1,7,14,11,13,6,8,0,0,0,0,0,0,0,0,0,0,11,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Edward Jones,180423318637979,4,0,0,0,0,1,1,40,0,0,83,18,80,31,39,55,23,30,9,0,0,0,0,0,0,0,0,0,19,3,14,8,7,33,6,17,7,0,0,0,0,2,5,119,0,0,373,60,297,216,224,1052,496,764,282,0,0,0,0,2,5,119,0,0,373,60,297,216,224,1052,496,783,291,0,0,0,0,0,0,15,0,0,18,18,61,85,61,567,196,394,78,0,0,0,0,0,0,22,0,0,73,17,74,29,37,17,6,6,1,0,0,0,0,0,1,0,0,0,28,5,30,3,6,0,1,0,0,0,0,0,0,1,1,40,0,0,69,16,73,27,35,38,19,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,49,9,40,27,32,4,1,0,0,0,0,0,0,0,0,2,0,0,4,1,2,2,1,30,15,17,8,0,0,0,0,0,0,22,0,0,6,4,9,0,0,11,4,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,7,0,0,0,0,0,1,0,16,0,0,4,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,44,9,37,27,31,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,29,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Container Store,59375573322,20,0,0,70,49,231,88,337,31,0,354,106,273,195,285,318,271,118,50,0,0,1411,643,3199,1781,3736,634,0,5116,2230,3631,1029,1873,2321,1536,1495,483,0,0,1458,902,5605,1938,11200,1006,0,30703,18439,49706,39335,59522,129729,93624,53927,24499,0,0,1458,902,5605,1938,11200,1006,0,30703,18440,49706,39335,59522,129729,93627,54545,24585,0,0,11,5,16,5,488,19,0,4042,1947,5396,2805,4564,8891,6202,3612,1705,0,0,22,29,124,45,196,17,0,178,17,47,12,22,13,12,0,1,0,0,4,1,0,1,0,0,0,38,7,10,11,20,3,5,0,0,0,0,13,8,30,9,61,5,0,85,9,47,48,100,92,90,24,13,0,0,0,0,0,0,0,0,0,3,0,4,4,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,2,41,1,0,32,6,33,15,20,29,29,24,9,0,0,5,5,10,4,12,0,0,12,0,5,5,9,25,21,9,6,0,0,0,0,14,2,41,1,0,31,5,33,15,20,29,29,24,9,0,0,0,0,9,13,23,5,0,11,6,9,92,137,171,162,0,0,0,0,34,16,79,24,77,5,0,153,66,189,153,223,278,235,108,44,0,0,12,19,80,29,164,14,0,137,9,31,16,27,14,13,1,1,0,0,5,5,10,4,10,0,0,10,0,0,2,5,24,19,9,5,0,0,19,9,59,27,65,11,0,41,29,47,24,30,2,4,0,0,0,0,0,0,3,4,11,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0
Four Seasons Hotels,106280431030,92,0,0,24,15,155,46,1104,55,0,722,170,398,187,256,162,130,85,32,0,0,256,160,1688,653,5797,785,0,9799,2219,14236,3153,3591,1346,1531,687,256,0,0,1303,948,8105,2841,56206,5643,0,251871,76185,465687,124814,149336,56470,54698,27528,5454,0,0,1303,948,8105,2841,56208,5643,0,251871,76185,465689,124814,149341,56476,54705,28278,5549,0,0,26,59,62,31,4204,362,0,26472,6492,39966,7859,11272,5188,7723,2171,517,0,0,1,0,24,5,152,34,0,78,22,50,40,81,35,30,15,6,0,0,3,0,0,1,96,3,0,4,0,1,1,0,0,2,0,0,0,0,10,3,30,12,414,17,0,261,50,58,31,49,27,17,14,5,0,0,0,0,0,0,4,0,0,0,0,0,1,0,9,3,1,1,0,0,0,0,0,0,236,1,0,192,39,158,44,42,26,26,11,3,0,0,0,0,0,0,396,21,0,303,51,90,61,78,50,52,37,17,0,0,2,3,8,2,12,0,0,11,5,6,7,13,15,15,15,1,0,0,0,0,0,0,396,21,0,302,53,89,61,81,50,52,37,17,0,0,0,0,14,4,11,3,0,37,8,21,21,34,107,64,37,10,0,0,22,10,69,18,927,20,0,624,146,331,143,183,109,90,57,24,0,0,0,0,20,5,147,31,0,69,11,19,35,59,38,25,14,7,0,0,2,3,0,1,0,0,0,0,1,3,5,3,14,15,14,1,0,0,0,2,52,18,12,0,0,3,12,43,4,11,1,0,0,0,0,0,0,0,14,4,11,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,11,0,2,0,0,0,0,0,0
Morningstar,198056910214033,79,0,0,0,0,0,0,29,0,0,28,2,11,6,4,0,0,0,0,0,0,0,0,0,0,46,0,0,23,1,16,8,2,0,0,0,0,0,0,0,0,0,0,49,0,0,95,15,86,24,17,0,0,0,0,0,0,0,0,0,0,49,0,0,95,15,86,24,17,0,0,0,0,0,0,0,0,0,0,1,0,0,16,6,11,20,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,17,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,18,1,6,2,2,0,0,0,0,0,0,0,0,0,0,7,0,0,5,1,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bright Horizons Family Solutions,1394887180807475,74,0,0,0,0,0,0,0,0,0,0,0,0,2,0,72,55,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,466,434,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,466,437,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,135,139,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,30,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60,44,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
