companyString,date,fbId,fbPageId,count(*),commentsCount,likesCount,reactionsCount,sharesCount,hasCaption,blankMessage,updatedLater,hasParent,hasPlace,hasMessageTags,hasSource,hasTo,postedFromApp,added_photosStory,shared_storyStory,added_videoStory,mobile_status_updateStory,published_storyStory,created_noteStory,wall_postStory,created_eventStory,noTypeStory
Google,2008-12,104958162837,1,104,1997,7711,7722,89,9,0,9,0,0,3,1,3,0,0,9,0,5,0,90,0,0,0
Google,2009-01,104958162837,1,50,821,2866,2868,30,5,0,8,0,0,0,2,0,0,0,5,0,0,0,45,0,0,0
Google,2009-12,104958162837,1,294,25993,143960,143970,2058,225,5,61,2,0,33,43,33,1,26,222,2,10,1,33,0,0,0
Google,2010-01,104958162837,1,94,7385,37733,37739,421,70,0,23,0,0,4,22,4,0,7,69,0,5,0,13,0,0,0
Google,2010-12,104958162837,1,225,62078,470122,470126,23972,175,0,134,0,0,29,37,29,3,34,175,0,13,3,0,0,0,0
Google,2011-01,104958162837,1,11,5013,43530,43534,3164,7,0,3,0,0,0,2,0,0,3,7,0,1,0,0,0,0,0
Google,2012-01,104958162837,1,130,128175,726052,726058,90311,62,3,35,5,0,15,34,15,0,59,67,0,4,0,0,0,0,0
Google,2012-12,104958162837,1,27,10018,71722,71722,11987,15,0,5,1,0,2,12,2,1,11,16,0,0,0,0,0,0,0
Google,2013-01,104958162837,1,82,29121,168927,168927,24764,43,0,10,4,0,18,23,18,5,34,46,0,2,0,0,0,0,0
Google,2013-12,104958162837,1,121,27603,130574,130624,16612,30,2,23,2,0,14,28,14,5,78,32,11,0,0,0,0,0,0
Google,2014-01,104958162837,1,187,41303,212979,213012,21748,43,4,28,5,0,24,32,24,10,127,48,12,0,0,0,0,0,0
Google,2014-12,104958162837,1,4,1235,7910,7945,697,0,0,0,0,0,0,1,0,4,3,0,1,0,0,0,0,0,0
Google,2015-01,104958162837,1,2,293,3123,3130,183,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Google,2015-12,104958162837,1,12,7856,21905,22883,3112,3,0,1,0,0,0,5,0,11,6,1,5,0,0,0,0,0,0
Google,2016-01,104958162837,1,3,1416,5147,5396,707,0,0,2,0,0,1,1,1,3,2,0,1,0,0,0,0,0,0
Boston Consulting Group,2008-12,24961338115,2,5,9,53,53,0,3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
Boston Consulting Group,2009-01,24961338115,2,12,4,38,38,0,10,1,9,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0
Boston Consulting Group,2009-12,24961338115,2,90,102,938,938,2,90,0,45,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0
Boston Consulting Group,2010-01,24961338115,2,5,1,77,77,0,5,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Boston Consulting Group,2010-12,24961338115,2,145,213,3028,3028,370,143,76,75,0,0,24,6,24,0,0,143,0,2,0,0,0,0,0
Boston Consulting Group,2012-01,24961338115,2,260,348,9561,9561,1665,248,1,140,2,1,144,27,144,9,6,241,1,3,9,0,0,0,0
Boston Consulting Group,2012-12,24961338115,2,94,106,3772,3772,656,77,0,65,0,0,48,6,48,0,5,77,0,12,0,0,0,0,0
Boston Consulting Group,2013-01,24961338115,2,329,339,11936,11936,1876,282,0,221,0,0,139,52,139,0,11,283,0,35,0,0,0,0,0
Boston Consulting Group,2013-12,24961338115,2,219,156,5725,5725,987,180,0,162,1,0,79,15,79,1,28,182,0,9,0,0,0,0,0
Boston Consulting Group,2014-01,24961338115,2,273,220,7271,7271,1141,212,4,187,2,0,83,56,82,0,43,212,1,17,0,0,0,0,0
Boston Consulting Group,2014-12,24961338115,2,129,252,10306,10306,1994,6,8,51,11,0,34,6,34,49,108,16,5,0,0,0,0,0,0
Boston Consulting Group,2015-01,24961338115,2,82,136,6226,6227,968,1,4,33,10,0,21,11,21,37,61,12,9,0,0,0,0,0,0
Boston Consulting Group,2015-12,24961338115,2,48,101,2819,2845,476,1,4,13,4,0,4,6,4,36,39,4,5,0,0,0,0,0,0
Boston Consulting Group,2016-01,24961338115,2,7,13,335,338,64,0,2,3,2,0,0,2,0,4,3,2,2,0,0,0,0,0,0
SAS,2012-01,140344030787,3,85,4314,71802,71802,3327,23,17,24,0,0,1,4,1,0,52,23,0,10,0,0,0,0,0
SAS,2012-12,140344030787,3,29,5670,52849,52850,2196,3,2,8,0,2,0,4,0,0,23,2,4,0,0,0,0,0,0
SAS,2013-01,140344030787,3,59,8055,74023,74023,3102,8,9,11,2,3,0,2,0,0,50,7,0,2,0,0,0,0,0
SAS,2014-12,140344030787,3,1,4,200,200,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Edward Jones,2009-12,180423318637979,4,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Edward Jones,2010-01,180423318637979,4,1,0,5,5,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Edward Jones,2010-12,180423318637979,4,40,0,119,119,15,22,0,40,0,0,0,0,0,0,2,22,0,16,0,0,0,0,0
Edward Jones,2012-01,180423318637979,4,83,19,373,373,18,73,28,69,0,0,0,0,0,49,4,6,0,4,44,0,0,25,0
Edward Jones,2012-12,180423318637979,4,18,3,60,60,18,17,5,16,0,0,0,0,0,9,1,4,0,0,9,0,0,4,0
Edward Jones,2013-01,180423318637979,4,80,14,297,297,61,74,30,73,0,0,0,1,0,40,2,9,0,3,37,0,0,29,0
Edward Jones,2013-12,180423318637979,4,31,8,216,216,85,29,3,27,0,0,0,0,0,27,2,0,0,0,27,0,0,2,0
Edward Jones,2014-01,180423318637979,4,39,7,224,224,61,37,6,35,0,0,0,0,0,32,1,0,0,1,31,0,0,6,0
Edward Jones,2014-12,180423318637979,4,55,33,1052,1052,567,17,0,38,0,2,2,8,2,4,30,11,8,2,4,0,0,0,0
Edward Jones,2015-01,180423318637979,4,23,6,496,496,196,6,1,19,0,0,1,3,1,1,15,4,3,0,1,0,0,0,0
Edward Jones,2015-12,180423318637979,4,30,17,764,783,394,6,0,22,0,0,1,7,1,0,17,6,7,0,0,0,0,0,0
Edward Jones,2016-01,180423318637979,4,9,7,282,291,78,1,0,7,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0
NetApp,2009-12,144947005540685,5,27,2,41,41,0,20,2,26,0,0,0,6,0,2,2,20,0,5,0,0,0,0,0
NetApp,2010-01,144947005540685,5,6,1,12,12,0,4,1,5,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0
NetApp,2010-12,144947005540685,5,22,5,46,46,4,18,4,19,1,0,0,2,0,0,2,19,0,1,0,0,0,0,0
NetApp,2012-01,144947005540685,5,45,2,110,110,27,28,26,43,12,0,0,2,0,0,1,40,0,4,0,0,0,0,0
NetApp,2012-12,144947005540685,5,13,2,34,34,3,6,6,12,5,0,0,0,0,0,2,11,0,0,0,0,0,0,0
