companyString,date,fbId,fbPageId,count(*),commentsCount,likesCount,reactionsCount,sharesCount,hasCaption,blankMessage,updatedLater,hasParent,hasPlace,hasMessageTags,hasSource,hasTo,postedFromApp,added_photosStory,shared_storyStory,added_videoStory,mobile_status_updateStory,published_storyStory,created_noteStory,wall_postStory,created_eventStory,noTypeStory
Google,2008,104958162837,1,104,1997,7711,7722,89,9,0,9,0,0,3,1,3,0,0,9,0,5,0,90,0,0,0
Google,2009,104958162837,1,344,26814,146826,146838,2088,230,5,69,2,0,33,45,33,1,26,227,2,10,1,78,0,0,0
Google,2010,104958162837,1,319,69463,507855,507865,24393,245,0,157,0,0,33,59,33,3,41,244,0,18,3,13,0,0,0
Google,2011,104958162837,1,11,5013,43530,43534,3164,7,0,3,0,0,0,2,0,0,3,7,0,1,0,0,0,0,0
Google,2012,104958162837,1,157,138193,797774,797780,102298,77,3,40,6,0,17,46,17,1,70,83,0,4,0,0,0,0,0
Google,2013,104958162837,1,203,56724,299501,299551,41376,73,2,33,6,0,32,51,32,10,112,78,11,2,0,0,0,0,0
Google,2014,104958162837,1,191,42538,220889,220957,22445,43,4,28,5,0,24,33,24,14,130,48,13,0,0,0,0,0,0
Google,2015,104958162837,1,14,8149,25028,26013,3295,3,0,1,0,0,0,5,0,13,8,1,5,0,0,0,0,0,0
Google,2016,104958162837,1,3,1416,5147,5396,707,0,0,2,0,0,1,1,1,3,2,0,1,0,0,0,0,0,0
Boston Consulting Group,2008,24961338115,2,5,9,53,53,0,3,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
Boston Consulting Group,2009,24961338115,2,102,106,976,976,2,100,1,54,0,0,0,0,0,0,0,100,0,2,0,0,0,0,0
Boston Consulting Group,2010,24961338115,2,150,214,3105,3105,370,148,76,79,0,0,24,6,24,0,0,148,0,2,0,0,0,0,0
Boston Consulting Group,2012,24961338115,2,354,454,13333,13333,2321,325,1,205,2,1,192,33,192,9,11,318,1,15,9,0,0,0,0
Boston Consulting Group,2013,24961338115,2,548,495,17661,17661,2863,462,0,383,1,0,218,67,218,1,39,465,0,44,0,0,0,0,0
Boston Consulting Group,2014,24961338115,2,402,472,17577,17577,3135,218,12,238,13,0,117,62,116,49,151,228,6,17,0,0,0,0,0
Boston Consulting Group,2015,24961338115,2,130,237,9045,9072,1444,2,8,46,14,0,25,17,25,73,100,16,14,0,0,0,0,0,0
