fbPageId,about,affiliation,alwaysOpen,appId,attire,bestPage,built,canCheckin,category,checkins,communityPage,companyString,contactAddress,culinaryTeam,currentLocation,description,displaySubtext,errorCode,errorMessage,fbId,features,founded,generalInfo,generalManager,geoSpecial,givenUrl,globalBrandRootId,hours,impressum,job,liTab,likes,link,location,members,mission,mpg,name,nameWithBrandOrLocation,overview,parentPageId,parking,paymentOptions,permanentlyClosed,personalInfo,personalInterests,pharmaSafetyInfo,phone,placeType,priceRange,products,publicTransit,restaurantServices,restaurantSpecialties,singleLineAddress,startDate,startType,storeLocationDescriptor,storeNumber,talkingAbout,unclaimed,username,verificationStatus,verified,voipInfo,website,wereHere,realStartDate
1,"Organizing the world's information and making it universally accessible and useful.",NULL,0,NULL,NULL,NULL,NULL,1,Website,444702,0,Google,null,NULL,NULL,NULL,"1600 Amphitheatre Pkwy・Mountain View, California・444,702 people checked in here",NULL,NULL,104958162837,NULL,1998,NULL,NULL,,https://www.facebook.com/Google,632051666897599,null,NULL,0,0,19944055,https://www.facebook.com/Google/,"Location[city=Mountain View country=United States latitude=null locatedIn=null longitude=null name=null region=null state=CA street=1600 Amphitheatre Pkwy zip=94043]",NULL,"Google's mission is to organize the world's information and make it universally accessible and useful.",NULL,Google,NULL,"ABBREVGoogle is a public and profitable company focused on search services. Named for the mathematical term ""googol,"" Google operates web sites at many international domains, with the most trafficked being www.google.com. Google is widely recognized as...",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,"See a full list:
http://www.google.com/options/index.html",NULL,null,null,"1600 Amphitheatre Pkwy, Mountain View, California 94043",com.restfb.types.Page$PageStartDate@3862513f,Unspecified,NULL,NULL,90261,0,Google,blue_verified,1,com.restfb.types.Page$VoipInfo@7bcf6946,www.google.com,0,"1997-12-31 16:21:20"
2,"This is the official Facebook fan page of The Boston Consulting Group.",NULL,0,NULL,NULL,NULL,NULL,1,"Consulting/Business Services",0,0,"Boston Consulting Group",null,NULL,NULL,NULL,NULL,NULL,NULL,24961338115,NULL,1963,NULL,NULL,,https://www.facebook.com/TheBostonConsultingGroup,NULL,null,NULL,0,0,162227,https://www.facebook.com/TheBostonConsultingGroup/,null,NULL,"ABBREVOur mission is clear. We go deep to unlock insight and have the courage to act. We bring the right people together to challenge established thinking and drive transformation. We work with our clients to build the capabilities that enable organiza...",NULL,"The Boston Consulting Group (BCG)",NULL,"ABBREVThe Boston Consulting Group is a global management consulting firm and the world's leading advisor on business strategy. We partner with clients in all sectors and regions to identify their highest-value opportunities, address their most critical...",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@2f69b5f4,Founded,NULL,NULL,689,0,TheBostonConsultingGroup,not_verified,0,com.restfb.types.Page$VoipInfo@6be97986,www.bcg.com,0,"1963-08-01 16:21:21"
3,"Welcome to the SAS offical fanpage! We are here mon-fri  07-19, Saturday 09-17 & Sunday 10-19 CET.  please visit www.sas.no/se/dk for more information. ",NULL,0,NULL,NULL,NULL,NULL,1,Travel/Leisure,0,0,SAS,null,NULL,NULL,NULL,NULL,NULL,NULL,140344030787,NULL,1946,NULL,NULL,,https://www.facebook.com/SAS,NULL,null,NULL,0,0,1160191,https://www.facebook.com/SAS/,null,NULL,"To make life easier for Scandinavia's frequent traveler. 
With SAS you are a part of a community experiencing easy, joyful and reliable services, delivered the Scandinavian way.",NULL,SAS,NULL,"ABBREVWhy should you choose SAS:
-no one flies to more destinations in Scandinavia
-we have included everything that should be included in the listed price
-we are ranked as one of Europe´s most punctual airlines since several years
-we are a proud mem...",NULL,NULL,null,0,NULL,NULL,NULL,<<not-applicable>>,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@3d584077,Founded,NULL,NULL,8342,0,SAS,blue_verified,1,com.restfb.types.Page$VoipInfo@40a4cd2,http://www.flysas.com,0,"1946-09-01 16:21:21"
4,"Every aspect of our business – from our office locations to the services we offer – is aligned to help us better understand and meet our clients’ needs.",NULL,0,NULL,NULL,NULL,NULL,1,Product/Service,0,0,"Edward Jones",null,NULL,NULL,"ABBREVFind the right opportunity for you. We bring a personal approach to business. All of our associates - whether they work in one of our branches across the country or in our headquarters locations – are dedicated to serving our clients.

Edward Jon...",NULL,NULL,NULL,180423318637979,NULL,1922,"ABBREVEdward Jones does not discriminate on the basis of race, color, religion, gender, sexual orientation, pregnancy, national origin, age, veteran status, disability, genetic information or any other basis prohibited by applicable law.

Career Sites
...",NULL,,https://www.facebook.com/edwardjonescareers?fref=ts,NULL,null,NULL,0,0,5531,https://www.facebook.com/edwardjonescareers/,null,NULL,"We help individuals achieve their serious, long-term financial goals by understanding their needs and implementing tailored solutions.",NULL,"Edward Jones Careers",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@536c1f76,Unspecified,NULL,NULL,122,0,edwardjonescareers,not_verified,0,com.restfb.types.Page$VoipInfo@1eb13740,http://www.careers.edwardjones.com,0,"1921-12-31 16:21:22"
5,"Come see for yourself why NetApp is not just a great place to develop your career, it's also an exciting place to work!",NULL,0,NULL,NULL,NULL,NULL,1,Product/Service,0,0,NetApp,null,NULL,NULL,NULL,NULL,NULL,NULL,144947005540685,NULL,1992,NULL,NULL,,https://www.facebook.com/netappcareers?fref=ts,NULL,null,NULL,0,0,2591,https://www.facebook.com/netappcareers/,null,NULL,"NetApp creates innovative storage and data management solutions that accelerate business breakthroughs and deliver outstanding cost efficiency. Discover NetApp's passion for helping companies around the world go further, faster at http://www.netapp.com/.",NULL,"NetApp Careers",NULL,"ABBREVNetApp, Inc. (NASDAQ: NTAP), formerly Network Appliance, Inc., is a multinational computer storage and data management company that is always in search of great talent. With this in mind, we’ve joined Facebook to stay in touch with people who are...",NULL,NULL,null,0,NULL,NULL,NULL,NULL,NULL,NULL,"http://www.netapp.com/us/products/
http://communities.netapp.com/",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@171ccb12,Unspecified,NULL,NULL,3,0,netappcareers,not_verified,0,com.restfb.types.Page$VoipInfo@7e40198f,"www.netapp.com
http://www.netapp.com/us/careers/

NetApp Blogs:
http://blogs.netapp.com/
http://blogs.netapp.com/jay/
http://blogs.netapp.com/dave/
",0,"1991-12-31 16:21:22"
6,"Camden Property Trust is one of the largest publicly traded multifamily companies in the United States and one of the best companies to work for!",NULL,0,NULL,NULL,NULL,NULL,1,Company,231,0,"Camden Property Trust",null,NULL,NULL,"ABBREVCamden Property Trust is one of the largest publicly traded multifamily companies in the United States. Structured as a Real Estate Investment Trust (REIT), the company is engaged in the ownership, development, acquisition, management, and dispos...","231 people checked in here",NULL,NULL,128051573873366,NULL,1982,NULL,NULL,,https://www.facebook.com/CamdenLiving,NULL,null,NULL,0,0,2637,https://www.facebook.com/CamdenLiving/,null,NULL,"Guided by our Values, we are committed to being the best multifamily company by providing Living Excellence to our residents.",NULL,Camden,NULL,"Camden Property Trust is one of the largest publicly traded multifamily companies in the United States.",NULL,NULL,null,0,NULL,NULL,NULL,"(800) 922-6336",NULL,NULL,"Go to www.camdenliving.com to see our apartment communities or to check for career opportunities.",NULL,null,null,NULL,null,Unspecified,NULL,NULL,74,0,CamdenLiving,not_verified,0,com.restfb.types.Page$VoipInfo@71fea0ea,http://www.camdenliving.com,0,NULL
7,"A member-owned co-op since 1938. We believe a life outdoors is a life well lived. #OptOutside",NULL,0,NULL,NULL,NULL,NULL,1,"Outdoor Gear/Sporting Goods",446,0,"Recreational Equipment (REI)",null,NULL,NULL,"ABBREVREI COMMUNITY GUIDELINES
-- Respect and adhere to the Facebook Statement of Rights and Responsibilities.
-- Do not post content that may be considered spam, profane or defamatory toward a person or entity, or supports illegal behavior.
-- We enco...","446 people checked in here",NULL,NULL,9062006483,NULL,NULL,NULL,NULL,,https://www.facebook.com/REI?fref=ts&rf=105647536165501,NULL,null,NULL,0,0,1484559,https://www.facebook.com/REI/,"Location[city=null country=null latitude=35.135180989305 locatedIn=null longitude=-106.60749022809 name=null region=null state=null street=null zip=null]",NULL,"ABBREVAt REI, we love to get outside and play, and we know first-hand the importance of quality outdoor gear. We stand behind all our products with a 100% satisfaction guarantee, and we design our own line of award-winning REI brand gear and clothing. ...",NULL,REI,NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,"(800) 426-4840",PLACE,NULL,"Gear and apparel for outdoor pursuits, including hiking, cycling, fitness, camping, snowsports, traveling, climbing, kayaking, canoeing, bird watching and more.",NULL,null,null,NULL,com.restfb.types.Page$PageStartDate@74306eea,Founded,NULL,NULL,68523,0,REI,blue_verified,1,com.restfb.types.Page$VoipInfo@52a2080c,http://www.rei.com,241074,"1938-08-21 16:21:23"
8,"We provide temporary and permanent placement for physicians, allied health professionals and nurses.",NULL,0,NULL,NULL,NULL,NULL,1,Health/Medical/Pharmaceuticals,850,0,"CHG Healthcare Services",null,NULL,NULL,NULL,"6440 S Millrock Dr Ste 175・Salt Lake City, Utah・850 people checked in here",NULL,NULL,32264600947,NULL,1979,NULL,NULL,,https://www.facebook.com/CHGFans?fref=ts,NULL,null,NULL,0,0,2644,https://www.facebook.com/CHGFans/,"Location[city=Salt Lake City country=United States latitude=40.63409 locatedIn=null longitude=-111.80149 name=null region=null state=UT street=6440 S Millrock Dr Ste 175 zip=84121]",NULL,NULL,NULL,"CHG Healthcare Services",NULL,"ABBREVWant to work for a company on Fortune magazine’s “100 Best Companies to Work For” list? With offices in Utah, Florida, Michigan, North Carolina, Connecticut and Oklahoma, it’s easy to find a place at CHG — and our people-centric culture and commi...",NULL,NULL,null,0,NULL,NULL,NULL,"(801) 930-3000",PLACE,NULL,"Temporary and permanent placement for physicians, allied health professionals and nurses to hospitals and healthcare organizations in all 50 states.
",NULL,null,null,"6440 S Millrock Dr Ste 175, Salt Lake City, Utah 84121",com.restfb.types.Page$PageStartDate@429253e5,Founded,NULL,NULL,316,0,CHGFans,not_verified,0,com.restfb.types.Page$VoipInfo@64654116,www.chghealthcare.com,850,"1979-02-01 16:21:24"
9,"Call (800) 411-JOBS

www.QuickenLoansCareers.com 

EOE

NMLS#3030",NULL,0,NULL,NULL,NULL,NULL,1,"Bank/Financial Institution",57,0,"Quicken Loans",null,NULL,NULL,"ABBREV“Everything we do is ENGINEERED TO AMAZE. Our client-focused culture ignites passion, accelerates results, and leads folks to the right decision with certainty.”

The reason Quicken Loans and our Family of Companies are such incredible places to ...","1050 Woodward Ave・Detroit, Michigan・57 people checked in here",NULL,NULL,435141649940642,NULL,NULL,NULL,NULL,,https://www.facebook.com/QLCareers?fref=ts,NULL,null,NULL,0,0,843,https://www.facebook.com/QLCareers/,"Location[city=Detroit country=United States latitude=42.332722 locatedIn=null longitude=-83.046722 name=null region=null state=MI street=1050 Woodward Ave zip=48226]",NULL,"Greatness is our mission, and we believe in it. And we believe that greatness can only be achieved in an extraordinary environment.",NULL,"Quicken Loans Careers",NULL,NULL,NULL,NULL,null,0,NULL,NULL,NULL,"(800) 411-5627",PLACE,NULL,NULL,NULL,null,null,"1050 Woodward Ave, Detroit, Michigan 48226",null,Unspecified,NULL,NULL,163,0,QLCareers,blue_verified,1,com.restfb.types.Page$VoipInfo@47b157f7,http://www.quickenloanscareers.com,57,NULL
10,"Zappos is a service company that sells shoes, clothing and more! Call us 24/7 at (800) 927-7671.",NULL,0,NULL,NULL,NULL,NULL,1,Clothing,4938,0,Zappos.com,null,NULL,NULL,"ABBREVPlease take the opportunity to share your experiences, post pictures, interact with our apps and let us know if there is anything we can do to WOW you!

We ask that our fans be respectful of each other. We reserve the right to remove posts that a...","400 Stewart Ave・Las Vegas, Nevada・4,938 people checked in here",NULL,NULL,7172307686,NULL,"June, 1999",NULL,NULL,,https://www.facebook.com/zappos?fref=ts,NULL,null,NULL,0,0,2101387,https://www.facebook.com/zappos/,"Location[city=Las Vegas country=United States latitude=null locatedIn=null longitude=null name=null region=null state=NV street=400 Stewart Ave zip=89101]",NULL,"We are a service company that happens to sell shoes, clothes, and more.
",NULL,Zappos.com,NULL,"Zappos.com offers free shipping and free return shipping with a 365-day return policy. Choose from over 1000 brands, over 100,000 styles, and over 3 million items from our warehouse full of shoes, clothing, handbags, and accessories!",NULL,NULL,null,0,NULL,NULL,NULL,"(800) 927-7671",NULL,NULL,NULL,NULL,null,null,"400 Stewart Ave, Las Vegas, Nevada 89101",com.restfb.types.Page$PageStartDate@58e8e8ce,Founded,NULL,NULL,63396,0,zappos,blue_verified,1,com.restfb.types.Page$VoipInfo@7904b28c,http://www.zappos.com,0,"1998-12-31 16:21:25"
