companyString,date,liPageId,count(*),likesCount,commentsCount
Google,1 day ago,3,2,3126,62
Google,1 month ago,3,17,29337,831
Google,10 days ago,3,1,613,15
Google,10 months ago,3,8,20311,669
Google,11 months ago,3,17,12619,517
Google,13 days ago,3,1,2683,41
Google,14 days ago,3,1,2177,45
Google,15 days ago,3,1,1188,35
Google,17 days ago,3,1,857,21
Google,2 months ago,3,8,18565,384
Google,23 days ago,3,2,1828,45
Google,24 days ago,3,1,2112,36
Google,29 days ago,3,2,7413,283
Google,3 months ago,3,20,37741,895
Google,4 months ago,3,13,25695,771
Google,5 months ago,3,16,19674,445
Google,6 days ago,3,1,1833,41
Google,6 months ago,3,13,11251,395
Google,7 days ago,3,2,4441,91
Google,7 months ago,3,12,22330,960
Google,8 months ago,3,7,30985,1133
Google,9 months ago,3,9,17483,578
Boston Consulting Group,1 day ago,4,1,613,14
Boston Consulting Group,1 month ago,4,17,27138,651
Boston Consulting Group,10 months ago,4,16,8269,264
Boston Consulting Group,11 days ago,4,1,1264,29
Boston Consulting Group,11 months ago,4,16,8322,315
Boston Consulting Group,12 months ago,4,3,1091,45
Boston Consulting Group,13 days ago,4,1,42,1
Boston Consulting Group,15 days ago,4,1,1152,23
Boston Consulting Group,18 days ago,4,1,789,20
Boston Consulting Group,2 days ago,4,1,439,8
Boston Consulting Group,2 months ago,4,14,14310,328
Boston Consulting Group,22 days ago,4,1,1418,21
Boston Consulting Group,27 days ago,4,1,133,7
Boston Consulting Group,28 days ago,4,2,2418,53
Boston Consulting Group,3 months ago,4,11,13535,381
Boston Consulting Group,4 days ago,4,1,837,35
Boston Consulting Group,4 months ago,4,12,9665,201
Boston Consulting Group,5 months ago,4,13,15164,828
Boston Consulting Group,6 months ago,4,10,11761,401
Boston Consulting Group,7 days ago,4,1,1692,39
Boston Consulting Group,7 months ago,4,17,12421,470
Boston Consulting Group,8 days ago,4,1,2542,75
Boston Consulting Group,8 months ago,4,8,6554,302
Boston Consulting Group,9 months ago,4,12,8235,364
SAS,1 day ago,8,2,153,0
SAS,1 month ago,8,44,3607,46
SAS,10 days ago,8,2,161,2
SAS,12 days ago,8,1,77,2
SAS,14 days ago,8,1,175,1
SAS,15 days ago,8,3,470,1
SAS,16 days ago,8,3,292,1
SAS,17 days ago,8,1,109,1
SAS,2 days ago,8,4,349,10
SAS,2 months ago,8,35,4208,61
SAS,20 days ago,8,1,78,0
SAS,22 days ago,8,2,313,3
SAS,23 days ago,8,1,53,0
SAS,24 days ago,8,1,53,0
SAS,26 days ago,8,1,198,2
SAS,27 days ago,8,1,75,0
SAS,28 days ago,8,2,213,1
SAS,29 days ago,8,3,141,2
SAS,3 days ago,8,3,267,4
SAS,3 months ago,8,38,3892,43
SAS,4 months ago,8,29,3611,57
SAS,5 days ago,8,1,129,1
SAS,5 months ago,8,5,500,3
SAS,6 days ago,8,4,255,5
SAS,7 days ago,8,4,305,2
SAS,8 days ago,8,3,138,0
SAS,9 days ago,8,3,204,1
SAS,9 hours ago,8,1,66,1
Wegmans Food Markets,1 month ago,9,13,122,1
Wegmans Food Markets,10 months ago,9,5,195,9
Wegmans Food Markets,11 months ago,9,10,401,16
Wegmans Food Markets,12 months ago,9,1,108,18
Wegmans Food Markets,2 months ago,9,61,856,39
Wegmans Food Markets,3 months ago,9,36,197,5
Wegmans Food Markets,4 months ago,9,6,0,0
Wegmans Food Markets,5 months ago,9,143,224,9
Wegmans Food Markets,6 months ago,9,146,356,19
Wegmans Food Markets,7 days ago,9,2,0,0
Wegmans Food Markets,7 months ago,9,3,35,0
Wegmans Food Markets,8 months ago,9,8,309,27
Wegmans Food Markets,9 months ago,9,5,51,6
NetApp,3 days ago,10,1,0,0
NetApp,50 minutes ago,10,1,0,0
Camden Property Trust,1 month ago,11,3,123,2
Camden Property Trust,10 months ago,11,9,184,7
Camden Property Trust,11 months ago,11,2,31,1
Camden Property Trust,12 months ago,11,1,7,0
Camden Property Trust,17 days ago,11,1,69,0
Camden Property Trust,2 months ago,11,6,270,13
Camden Property Trust,21 days ago,11,1,17,0
Camden Property Trust,24 days ago,11,1,15,0
Camden Property Trust,29 days ago,11,1,15,0
Camden Property Trust,3 days ago,11,1,22,0
Camden Property Trust,3 months ago,11,3,76,0
Camden Property Trust,4 months ago,11,5,181,4
Camden Property Trust,5 months ago,11,4,77,3
Camden Property Trust,6 months ago,11,6,116,0
Camden Property Trust,7 days ago,11,1,32,1
Camden Property Trust,7 months ago,11,8,148,5
Camden Property Trust,8 months ago,11,2,47,0
Camden Property Trust,9 months ago,11,3,47,1
Recreational Equipment (REI),1 month ago,12,5,1733,31
Recreational Equipment (REI),13 days ago,12,1,257,6
Recreational Equipment (REI),15 days ago,12,1,217,3
Recreational Equipment (REI),17 days ago,12,1,139,0
Recreational Equipment (REI),2 months ago,12,1,310,5
Recreational Equipment (REI),20 days ago,12,1,66,0
Recreational Equipment (REI),21 days ago,12,1,216,3
Recreational Equipment (REI),4 months ago,12,1,361,7
Recreational Equipment (REI),5 months ago,12,3,1300,30
Recreational Equipment (REI),6 months ago,12,3,7221,423
Recreational Equipment (REI),7 months ago,12,3,1126,48
Recreational Equipment (REI),8 months ago,12,2,1230,55
Recreational Equipment (REI),9 months ago,12,1,423,19
CHG Healthcare Services,1 day ago,13,1,9,0
CHG Healthcare Services,1 month ago,13,26,237,4
CHG Healthcare Services,10 days ago,13,1,7,0
CHG Healthcare Services,13 days ago,13,1,10,0
CHG Healthcare Services,14 days ago,13,1,8,1
CHG Healthcare Services,15 days ago,13,1,11,0
CHG Healthcare Services,16 days ago,13,1,27,0
CHG Healthcare Services,17 days ago,13,1,3,0
CHG Healthcare Services,2 days ago,13,1,17,0
CHG Healthcare Services,2 months ago,13,20,237,5
CHG Healthcare Services,20 days ago,13,1,7,0
CHG Healthcare Services,21 days ago,13,1,18,0
CHG Healthcare Services,22 days ago,13,1,6,0
CHG Healthcare Services,23 days ago,13,1,13,0
CHG Healthcare Services,24 days ago,13,1,17,0
CHG Healthcare Services,27 days ago,13,1,8,0
CHG Healthcare Services,28 days ago,13,1,8,0
CHG Healthcare Services,29 days ago,13,1,11,0
CHG Healthcare Services,3 days ago,13,1,5,0
CHG Healthcare Services,3 months ago,13,21,210,4
CHG Healthcare Services,4 months ago,13,23,151,3
CHG Healthcare Services,5 months ago,13,17,127,2
CHG Healthcare Services,6 days ago,13,1,9,0
CHG Healthcare Services,7 days ago,13,1,12,0
CHG Healthcare Services,7 hours ago,13,1,1,0
CHG Healthcare Services,8 days ago,13,1,10,0
CHG Healthcare Services,9 days ago,13,1,11,0
Quicken Loans,1 day ago,14,1,16,0
Quicken Loans,1 month ago,14,9,271,19
Quicken Loans,10 months ago,14,6,193,9
Quicken Loans,11 months ago,14,2,94,2
Quicken Loans,15 days ago,14,1,29,1
Quicken Loans,17 days ago,14,1,39,0
Quicken Loans,2 months ago,14,5,298,12
Quicken Loans,22 days ago,14,1,21,1
Quicken Loans,24 days ago,14,1,33,2
Quicken Loans,3 days ago,14,1,22,6
Quicken Loans,3 months ago,14,8,287,7
Quicken Loans,4 months ago,14,7,199,6
Quicken Loans,5 months ago,14,9,448,24
Quicken Loans,8 months ago,14,1,34,0
Quicken Loans,9 hours ago,14,1,13,0
Quicken Loans,9 months ago,14,3,71,4
