liPageId,companyString,geoSpecial,givenUrl,isGroup,job,liTab,trimmedUrl,affiliatedCompaniesLinks,affiliatedCompaniesNames,associatedGroupsLinks,associatedGroupsNames,careers,companySize,description,followers,founded,hq,industry,jobs,specialties,stats,title,type,website,fetchDone,fetchErrorMessage,parentCompanyLink
1,Google,Netherlands,https://www.linkedin.com/groups?gid=1946899&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A1-1-1%2CtarId%3A1427131229716%2Ctas%3Agoogle+caree,1,0,0,https://www.linkedin.com/groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
2,Google,,https://www.linkedin.com/groups/Google-Universe-Jobs-Tools-Trends-2930475?gid=2930475&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A2-1-2%2CtarId%3A1427131259584%2Ctas%3Agoogle+job,1,0,0,https://www.linkedin.com/groups/Google-Universe-Jobs-Tools-Trends-2930475,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
3,Google,,https://www.linkedin.com/company/google?trk=top_nav_home,0,0,0,https://www.linkedin.com/company/google,,,,,Careers,"10,001+ employees","ABBREVGoogle’s mission is to organize the world‘s information and make it universally accessible and useful. Since our founding in 1998, Google has grown by leaps and bounds. From offering search in a single language we now offer dozens of products and...","4,106,366 followers",1998,"1600 Amphitheatre Parkway Mountain View, CA 94043 United States",Internet,NULL,"search, ads, mobile, android, online video",NULL,Google,"Public Company",http://www.google.com,1,NULL,NULL
4,"Boston Consulting Group",,https://www.linkedin.com/company/1784?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427131302214%2Ctas%3Aboston+consulting+group+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427131302214%2Ctas%3Aboston+consulting+group+&trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427131302214%2Ctas%3Aboston+consulting+group+,0,0,0,https://www.linkedin.com/company/1784,,,,,Careers,"10,001+ employees","ABBREVThe Boston Consulting Group (BCG) is a global management consulting firm and the world’s leading advisor on business strategy. Now in our sixth decade, we continue not only to grow but also to embody the same timeless sense of purpose and the con...","558,243 followers",NULL,"Boston Consulting Group Boston, MA 02108 United States","Management Consulting",NULL,"ABBREVConsumer insight, corporate development, corporate finance, digital economy, globalization, growth, information technology, innovation, marketing & sales, operations, people & organization, postmerger integration, risk management, strategy, susta...",NULL,"The Boston Consulting Group",Partnership,http://www.bcg.com,1,NULL,NULL
5,SAS,USA,https://www.linkedin.com/groups?gid=2041034&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A4-1-4%2CtarId%3A1427135102718%2Ctas%3Asas+job,1,0,0,https://www.linkedin.com/groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
6,SAS,Europe,https://www.linkedin.com/groups?gid=2119911&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A3-2-4%2CtarId%3A1427135129490%2Ctas%3Asas+jobs,1,0,0,https://www.linkedin.com/groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
7,SAS,Canada,https://www.linkedin.com/groups?gid=5095978&mostPopular=&trk=tyah&trkInfo=clickedVertical%3Agroup%2Cidx%3A2-2-3%2CtarId%3A1427135138476%2Ctas%3Asas+career,1,0,0,https://www.linkedin.com/groups,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
8,SAS,,https://www.linkedin.com/company/1491?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A1491%2Cidx%3A4-1-12%2CtarId%3A1446047308805%2Ctas%3Asas%20,0,0,0,https://www.linkedin.com/company/1491,,,,,Careers,"10,001+ employees","ABBREVSAS is the leader in business analytics software and services, and the largest independent vendor in the business intelligence market. Through innovative solutions, SAS helps customers at more than 70,000 sites improve performance and deliver val...","281,965 followers",1976,"100 SAS Campus Drive Cary, NC 27513 United States","Computer Software",NULL,"SAS, BI, Data Mining, OLAP, DW, Analytics, Business Analytics, Predictive Analytics, Statistics, Customer Intelligence, Enterprise Risk Management",NULL,SAS,"Privately Held",http://www.sas.com,1,NULL,NULL
9,"Wegmans Food Markets",,https://www.linkedin.com/company/166905?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1427135176604%2Ctas%3Awegmans+food+,0,0,0,https://www.linkedin.com/company/166905,,,,,NULL,"10,001+ employees","ABBREVWegmans Food Markets, Inc. is a family-owned U.S. regional supermarket chain headquartered in Rochester, New York. Wegmans has multiple stores in the mid-Atlantic region, in New York, Pennsylvania, New Jersey, Virginia, Maryland, and Massachusett...","38,427 followers",1916,"1500 Brooks Ave PO Box 30844 Rochester, NY 14603-0844 United States",Retail,NULL,"Speciality Super Market, In store Market Cafe's, Multiple Restaurant Concepts, Pharmacy, Manufacturing - Bakeshop and Culinary Innovation Center, Wegmans Organic Farm, Menu Magazine, Wegmans Brand",NULL,"Wegmans Food Markets","Privately Held",http://www.wegmans.com,1,NULL,NULL
10,NetApp,,https://www.linkedin.com/company/netapp,0,0,0,https://www.linkedin.com/company/netapp,,,,,Careers,"10,001+ employees","ABBREVNetApp creates innovative storage and data management solutions that help accelerate business breakthroughs and deliver outstanding cost efficiency. Our dedication to principles of simplicity, innovation, and customer success has made us one of t...","290,853 followers",1992,"495 E Java Dr Sunnyvale, California 94089 United States","Information Technology and Services",NULL,"network storage, cloud computing, storage efficiency, Information management, data storage",NULL,NetApp,"Public Company",http://www.netapp.com,1,"ABBREVNoSuchElementException exception : no such element
  (Session info: chrome=50.0.2661.94)
  (Driver info: chromedriver=2.16.333243 (0bfa1d3575fc1044244f21ddb82bf870944ef961),platform=Windows NT 6.1 SP1 x86_64) (WARNING: The server did not provide ...",NULL
