companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Google,2015-05,1,20536157,162,17694,24161,96,12,0,0,0,0,90,92,90,110,82
Google,2015-06,1,20536157,138,16194,42104,68,21,1,0,0,0,53,49,53,82,87
Google,2015-07,1,20536157,126,15275,12922,69,11,0,0,0,0,35,40,35,86,94
Google,2015-08,1,20536157,106,14012,24543,67,14,0,0,0,0,29,30,29,75,74
Google,2015-09,1,20536157,312,41782,55350,254,11,2,0,0,0,45,30,45,256,172
Google,2015-10,1,20536157,345,21061,21715,271,22,2,0,0,0,55,40,55,278,207
Google,2015-11,1,20536157,279,46343,52495,219,21,1,0,0,0,45,43,45,231,176
Google,2015-12,1,20536157,228,30710,42460,150,20,0,0,0,0,65,56,65,168,150
Google,2016-01,1,20536157,229,22475,21667,161,24,1,0,0,0,60,45,60,190,136
Google,2016-02,1,20536157,297,36389,24885,222,19,2,0,0,0,71,58,71,253,171
Google,2016-03,1,20536157,632,54956,42533,560,29,1,0,0,0,224,170,224,573,162
Google,2016-04,1,20536157,332,28627,21728,272,22,0,0,0,0,49,41,49,304,210
Google,2016-05,1,20536157,29,1602,1528,25,2,0,0,0,0,3,3,3,28,18
Boston Consulting Group,2014-10,2,501801749,569,1142,2696,11,161,0,0,0,0,101,470,101,272,335
Boston Consulting Group,2014-11,2,501801749,362,742,1536,2,107,0,0,0,0,35,297,35,183,209
Boston Consulting Group,2014-12,2,501801749,112,414,892,3,26,0,0,0,0,15,76,15,36,103
Boston Consulting Group,2015-01,2,501801749,196,915,1965,1,58,0,0,0,0,84,153,84,90,170
Boston Consulting Group,2015-02,2,501801749,193,608,1549,1,94,0,0,0,0,46,172,46,133,110
Boston Consulting Group,2015-03,2,501801749,194,688,1585,1,96,0,0,0,0,69,166,69,132,111
Boston Consulting Group,2015-04,2,501801749,178,908,1628,1,49,0,0,0,0,107,154,107,73,137
Boston Consulting Group,2015-05,2,501801749,139,737,1888,0,55,0,0,0,0,102,103,102,75,128
Boston Consulting Group,2015-06,2,501801749,340,1280,2983,5,127,0,0,0,0,194,303,194,202,131
Boston Consulting Group,2015-07,2,501801749,98,611,1676,0,40,0,0,0,0,75,71,75,53,91
Boston Consulting Group,2015-08,2,501801749,85,700,1544,0,31,0,0,0,0,76,64,76,44,80
Boston Consulting Group,2015-09,2,501801749,115,721,1424,2,46,0,0,0,0,91,96,91,76,104
