Company Name,twitteruserid,id,2007 count(*),2008 count(*),2009 count(*),2010 count(*),2011 count(*),2012 count(*),2013 count(*),2014 count(*),2015 count(*),2016 count(*),2007 favoriteCount,2008 favoriteCount,2009 favoriteCount,2010 favoriteCount,2011 favoriteCount,2012 favoriteCount,2013 favoriteCount,2014 favoriteCount,2015 favoriteCount,2016 favoriteCount,2007 retweetCount,2008 retweetCount,2009 retweetCount,2010 retweetCount,2011 retweetCount,2012 retweetCount,2013 retweetCount,2014 retweetCount,2015 retweetCount,2016 retweetCount,2007 isReply,2008 isReply,2009 isReply,2010 isReply,2011 isReply,2012 isReply,2013 isReply,2014 isReply,2015 isReply,2016 isReply,2007 isRetweet,2008 isRetweet,2009 isRetweet,2010 isRetweet,2011 isRetweet,2012 isRetweet,2013 isRetweet,2014 isRetweet,2015 isRetweet,2016 isRetweet,2007 isStatusQuote,2008 isStatusQuote,2009 isStatusQuote,2010 isStatusQuote,2011 isStatusQuote,2012 isStatusQuote,2013 isStatusQuote,2014 isStatusQuote,2015 isStatusQuote,2016 isStatusQuote,2007 hasPlace,2008 hasPlace,2009 hasPlace,2010 hasPlace,2011 hasPlace,2012 hasPlace,2013 hasPlace,2014 hasPlace,2015 hasPlace,2016 hasPlace,2007 hasCoords,2008 hasCoords,2009 hasCoords,2010 hasCoords,2011 hasCoords,2012 hasCoords,2013 hasCoords,2014 hasCoords,2015 hasCoords,2016 hasCoords,2007 possiblySensitive,2008 possiblySensitive,2009 possiblySensitive,2010 possiblySensitive,2011 possiblySensitive,2012 possiblySensitive,2013 possiblySensitive,2014 possiblySensitive,2015 possiblySensitive,2016 possiblySensitive,2007 hasExtendedMediaEntities,2008 hasExtendedMediaEntities,2009 hasExtendedMediaEntities,2010 hasExtendedMediaEntities,2011 hasExtendedMediaEntities,2012 hasExtendedMediaEntities,2013 hasExtendedMediaEntities,2014 hasExtendedMediaEntities,2015 hasExtendedMediaEntities,2016 hasExtendedMediaEntities,2007 hasHashtagEntities,2008 hasHashtagEntities,2009 hasHashtagEntities,2010 hasHashtagEntities,2011 hasHashtagEntities,2012 hasHashtagEntities,2013 hasHashtagEntities,2014 hasHashtagEntities,2015 hasHashtagEntities,2016 hasHashtagEntities,2007 hasMediaEntities,2008 hasMediaEntities,2009 hasMediaEntities,2010 hasMediaEntities,2011 hasMediaEntities,2012 hasMediaEntities,2013 hasMediaEntities,2014 hasMediaEntities,2015 hasMediaEntities,2016 hasMediaEntities,2007 hasMentionEntities,2008 hasMentionEntities,2009 hasMentionEntities,2010 hasMentionEntities,2011 hasMentionEntities,2012 hasMentionEntities,2013 hasMentionEntities,2014 hasMentionEntities,2015 hasMentionEntities,2016 hasMentionEntities,2007 hasUrlEntities,2008 hasUrlEntities,2009 hasUrlEntities,2010 hasUrlEntities,2011 hasUrlEntities,2012 hasUrlEntities,2013 hasUrlEntities,2014 hasUrlEntities,2015 hasUrlEntities,2016 hasUrlEntities
Texas Instruments,107,13613292,0,0,0,0,0,0,0,0,2009,1219,0,0,0,0,0,0,0,0,11176,9033,0,0,0,0,0,0,0,0,7615,4962,0,0,0,0,0,0,0,0,271,122,0,0,0,0,0,0,0,0,75,97,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,584,0,0,0,0,0,0,0,0,1260,811,0,0,0,0,0,0,0,0,740,584,0,0,0,0,0,0,0,0,649,495,0,0,0,0,0,0,0,0,1803,1022
DPR Construction,12,36725949,0,0,14,8,5,257,1132,607,516,126,0,0,0,0,1,43,351,610,805,345,0,0,0,12,4,210,1018,716,743,204,0,0,0,0,0,16,94,21,9,2,0,0,0,0,0,21,6,7,58,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,45,21,58,50,0,0,0,3,1,164,865,344,398,51,0,0,0,0,0,15,45,21,58,50,0,0,0,3,2,130,730,447,380,57,0,0,0,1,5,196,919,555,451,90
Orrick Herrington & Sutcliffe,104,33724349,0,0,0,39,67,77,247,545,1125,348,0,0,0,1,1,8,31,115,343,299,0,0,0,9,53,83,223,353,990,2090,0,0,0,0,47,58,86,19,8,1,0,0,0,2,0,1,20,60,208,128,0,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,58,277,60,0,0,0,1,2,3,23,82,408,95,0,0,0,0,0,0,2,58,277,60,0,0,0,2,51,75,145,168,601,235,0,0,0,0,42,70,237,509,1052,316
Adobe,37,244264669,0,0,0,0,0,0,47,1350,1368,439,0,0,0,0,0,0,15,913,1237,493,0,0,0,0,0,0,30,1244,1441,383,0,0,0,0,0,0,14,446,453,71,0,0,0,0,0,0,8,145,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,182,297,113,0,0,0,0,0,0,30,794,790,306,0,0,0,0,0,0,5,182,297,113,0,0,0,0,0,0,30,1069,1081,303,0,0,0,0,0,0,26,768,844,366
Hasbro,77,347317843,0,0,0,0,298,305,459,230,223,11,0,0,0,0,20,29,119,90,89,14,0,0,0,0,1395,170,1445,131,483,23,0,0,0,0,30,9,69,0,0,0,0,0,0,0,37,22,57,0,16,5,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,21,0,20,3,0,0,0,0,160,275,358,229,208,8,0,0,0,0,5,2,21,0,20,3,0,0,0,0,132,37,148,0,32,8,0,0,0,0,163,280,347,230,194,6
Edward Jones,5,68860774,0,0,0,0,0,408,408,324,236,58,0,0,0,0,0,92,281,481,773,464,0,0,0,0,0,1276,1696,3025,1714,685,0,0,0,0,0,20,43,31,20,0,0,0,0,0,0,38,27,45,20,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,28,35,35,9,0,0,0,0,0,100,129,98,40,5,0,0,0,0,0,27,28,35,35,9,0,0,0,0,0,114,103,95,79,11,0,0,0,0,0,324,320,269,181,45
Container Store,20,92293468,0,0,0,0,0,0,0,0,2174,1067,0,0,0,0,0,0,0,0,3318,1304,0,0,0,0,0,0,0,0,5146,1830,0,0,0,0,0,0,0,0,1420,832,0,0,0,0,0,0,0,0,84,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,159,0,0,0,0,0,0,0,0,548,411,0,0,0,0,0,0,0,0,412,159,0,0,0,0,0,0,0,0,1509,862,0,0,0,0,0,0,0,0,632,245
Four Seasons Hotels,92,18363030,0,0,0,0,0,0,0,0,1713,1503,0,0,0,0,0,0,0,0,4438,5061,0,0,0,0,0,0,0,0,3176,3206,0,0,0,0,0,0,0,0,1499,1260,0,0,0,0,0,0,0,0,57,76,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,235,0,0,0,0,0,0,0,0,312,379,0,0,0,0,0,0,0,0,190,235,0,0,0,0,0,0,0,0,1614,1408,0,0,0,0,0,0,0,0,220,303
Morningstar,83,569404984,0,0,0,0,0,20,78,167,92,0,0,0,0,0,0,0,11,39,10,0,0,0,0,0,0,7,361,286,281,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,17,41,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,17,0,0,0,0,0,0,9,39,67,40,0,0,0,0,0,0,0,1,50,17,0,0,0,0,0,0,3,46,78,50,0,0,0,0,0,0,20,64,59,73,0
Bright Horizons Family Solutions,78,373917299,0,0,0,0,46,70,214,175,319,143,0,0,0,0,0,0,3,8,48,46,0,0,0,0,25,31,43,77,102,60,0,0,0,0,13,14,140,81,200,10,0,0,0,0,3,2,1,11,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,6,90,32,0,0,0,0,31,33,85,83,34,36,0,0,0,0,0,6,13,6,90,32,0,0,0,0,24,17,142,106,204,45,0,0,0,0,10,63,100,39,65,72
