companyString,date,twitteruserid,id,count(*),favoriteCount,retweetCount,isReply,isRetweet,isStatusQuote,hasPlace,hasCoords,possiblySensitive,hasExtendedMediaEntities,hasHashtagEntities,hasMediaEntities,hasMentionEntities,hasUrlEntities
Google,2015,1,20536157,1696,203071,275750,1194,132,6,0,0,0,417,380,417,1286,1042
Google,2016,1,20536157,1519,144049,112341,1240,96,4,0,0,0,407,317,407,1348,697
Boston Consulting Group,2014,2,501801749,1043,2298,5124,16,294,0,0,0,0,151,843,151,491,647
Boston Consulting Group,2015,2,501801749,1833,10829,21801,20,688,0,0,0,0,1094,1506,1094,1004,1325
Boston Consulting Group,2016,2,501801749,349,18818,17292,2,94,0,0,0,0,315,261,315,125,272
SAS,2015,3,1379801,1243,1186,514,1194,6,4,0,0,0,21,18,21,1177,259
SAS,2016,3,1379801,1999,3257,1193,1905,7,1,0,0,0,71,35,71,1906,389
Wegmans Food Markets,2015,4,66482863,1095,1407,553,1039,1,0,0,0,0,37,28,37,1021,98
Wegmans Food Markets,2016,4,66482863,2125,2632,1165,2042,1,0,0,0,0,50,40,50,2028,162
Edward Jones,2012,5,68860774,408,92,1276,20,38,0,0,0,0,27,100,27,114,324
Edward Jones,2013,5,68860774,408,281,1696,43,27,0,0,0,0,28,129,28,103,320
Edward Jones,2014,5,68860774,324,481,3025,31,45,0,0,0,0,35,98,35,95,269
Edward Jones,2015,5,68860774,236,773,1714,20,20,3,0,0,0,35,40,35,79,181
Edward Jones,2016,5,68860774,58,464,685,0,3,0,0,0,0,9,5,9,11,45
NetApp,2010,6,92139388,184,0,23,11,4,0,0,0,0,0,143,0,52,2
NetApp,2011,6,92139388,268,12,72,32,0,0,0,0,0,0,202,0,123,56
NetApp,2012,6,92139388,51,4,21,6,0,0,0,0,0,0,29,0,19,42
NetApp,2013,6,92139388,329,60,551,28,82,0,0,0,0,15,246,15,177,260
NetApp,2014,6,92139388,310,110,410,38,46,0,0,0,0,15,225,15,159,251
NetApp,2015,6,92139388,33,17,80,2,8,2,0,0,0,6,28,6,12,29
NetApp,2016,6,92139388,1,0,1,0,1,0,0,0,0,0,1,0,1,0
Recreational Equipment (REI),2015,7,16583846,2289,25230,6948,2168,1,6,0,0,0,1975,2099,1975,2143,1949
Recreational Equipment (REI),2016,7,16583846,959,41830,11774,640,25,5,0,0,0,274,257,274,745,314
CHG Healthcare Services,2013,8,23610270,889,88,1643,78,215,0,0,0,0,112,692,112,618,673
CHG Healthcare Services,2014,8,23610270,997,168,912,41,125,0,0,0,0,26,774,26,763,905
CHG Healthcare Services,2015,8,23610270,999,265,495,21,78,0,0,0,0,19,791,19,665,953
CHG Healthcare Services,2016,8,23610270,358,168,175,3,31,0,0,0,0,9,307,9,165,338
Quicken Loans,2015,9,14336163,1119,1397,3914,550,181,20,0,0,0,298,222,298,900,426
Quicken Loans,2016,9,14336163,2097,2775,14151,1430,215,38,0,0,0,369,323,369,1783,555
Zappos.com,2012,10,829968314,112,24,52,32,14,0,5,5,0,15,65,15,64,47
Zappos.com,2013,10,829968314,159,33,55,29,17,0,0,0,0,6,111,6,65,107
Mercedes-Benz USA,2011,11,309082586,112,0,11,39,0,0,0,0,0,0,42,0,47,58
Mercedes-Benz USA,2012,11,309082586,278,14,33,152,0,0,0,0,0,1,105,1,152,99
Mercedes-Benz USA,2013,11,309082586,371,111,184,87,6,0,0,0,0,35,187,35,93,207
Mercedes-Benz USA,2014,11,309082586,226,205,112,56,0,0,0,0,0,38,107,38,80,106
Mercedes-Benz USA,2015,11,309082586,9,21,6,5,0,0,0,0,0,3,2,3,5,4
DPR Construction,2009,12,36725949,14,0,0,0,0,0,0,0,0,0,0,0,0,0
DPR Construction,2010,12,36725949,8,0,12,0,0,0,0,0,0,0,3,0,3,1
DPR Construction,2011,12,36725949,5,1,4,0,0,0,0,0,0,0,1,0,2,5
DPR Construction,2012,12,36725949,257,43,210,16,21,0,0,0,0,15,164,15,130,196
DPR Construction,2013,12,36725949,1132,351,1018,94,6,0,1,1,0,45,865,45,730,919
DPR Construction,2014,12,36725949,607,610,716,21,7,0,0,0,0,21,344,21,447,555
DPR Construction,2015,12,36725949,516,805,743,9,58,3,0,0,0,58,398,58,380,451
DPR Construction,2016,12,36725949,126,345,204,2,24,0,0,0,0,50,51,50,57,90
DreamWorks Animation SKG,2014,13,25341996,536,28974,36316,19,148,0,0,0,0,261,365,261,236,248
DreamWorks Animation SKG,2015,13,25341996,2190,143075,214616,114,427,72,0,0,0,1222,1860,1222,893,614
DreamWorks Animation SKG,2016,13,25341996,503,54969,72542,30,213,12,0,0,0,300,376,300,312,149
NuStar Energy,2009,14,58910381,13,1,0,0,0,0,0,0,0,0,0,0,0,0
NuStar Energy,2010,14,58910381,10,1,0,0,0,0,0,0,0,0,0,0,0,0
NuStar Energy,2011,14,58910381,15,2,8,0,0,0,0,0,0,1,0,1,0,2
NuStar Energy,2012,14,58910381,16,1,10,0,0,0,0,0,0,1,3,1,1,12
NuStar Energy,2013,14,58910381,33,13,15,3,0,0,0,0,0,15,12,15,16,16
NuStar Energy,2014,14,58910381,88,44,75,4,17,0,0,0,0,63,44,63,56,17
NuStar Energy,2015,14,58910381,50,65,55,0,8,0,0,0,0,33,22,33,35,11
NuStar Energy,2016,14,58910381,6,11,12,1,1,0,0,0,0,3,5,3,5,4
Kimpton Hotels & Restaurants,2011,15,310540568,152,2,12,11,3,0,0,0,0,0,107,0,16,131
Kimpton Hotels & Restaurants,2012,15,310540568,127,4,26,5,2,0,0,0,0,6,12,6,11,93
Kimpton Hotels & Restaurants,2013,15,310540568,138,25,111,15,9,0,0,0,0,16,22,16,39,84
Kimpton Hotels & Restaurants,2014,15,310540568,72,38,23,23,5,0,0,0,0,13,13,13,27,34
Kimpton Hotels & Restaurants,2015,15,310540568,44,29,53,23,2,1,0,0,0,13,13,13,27,11
Kimpton Hotels & Restaurants,2016,15,310540568,18,19,33,0,2,1,0,0,0,7,18,7,14,1
JM Family Enterprises,2014,16,2151027474,698,20,30,0,0,0,652,652,0,0,698,0,0,698
JM Family Enterprises,2015,16,2151027474,34,1,0,0,0,0,34,34,0,0,34,0,0,34
